subject_entity,subject_type,subject_location,value,claim_domain,metric,is_factual
new york jets,Team,east rutherford,300,Sports,difference,0
richmond fc,Team,melbourne,12000,Sports,crowd,1
richmond fc,Team,melbourne,135,Sports,score,1
josé amalfitani,Stadium,argentina,49540,Sports,capacity,1
vélez s,Stadium,argentina,49000,Sports,capacity,0
footscray,Team,melbourne,13972,Sports,crowd,1
charlotte bobcat,Team,charlotte,16365,Sports,crowd,1
carltton fc,Team,melbourne,25000,Sports,crowd,0
footscray,Team,melbourne,101,Sports,score,0
toronto blue jays,Team,toronto,9221,Sports,crowd,0
detroit red wings,Team,detroit,41000,Sports,crowd,0
essendon,Team,melbourne,19000,Sports,crowd,1
sergey filimonov,Athlete,almaty,210,Sports,weight,0
vfl,Tournament,carlton,17000,Sports,crowd,1
iaaf,Tournament,spain,>1,Sports,count,1
wake forest,Team,nc,7900,Sports,crowd,0
conseco,Team,new york,8426,Sports,crowd,1
conseco,Team,chicago,8426,Sports,crowd,0
joël champagne,Team,canada,129,Sports,pick number,1
derrick brooks,Athlete,tampa bay,208,Sports,record,1
hawks,Team,indiana,122,Sports,score,1
hawks,Team,indiana,212,Sports,score,0
blake miller,Athlete,foxborough,168,Sports,pick number,0
richmond,Team,melbourne,25600,Sports,crowd,0
jim furyk,Athlete,dublin,274,Sports,score,0
texas schools,Team,texas,258,Sports,count,1
oklahoma schools,Team,oklahoma,109,Sports,count,0
st kilda,Team,melbourne,29175,Sports,crowd,1
north melbourne fc,Team,melbourne,21429,Sports,crowd,0
indianapolis colts,Team,east rutherford,79101,Sports,crowd,1
atlanta hawks,Team,san diego,107,Sports,score,1
chuck chiatto,Athlete,us,226,Sports,pick number,0
peter mcgeough,Athlete,new york islander,238,Sports,pick number,0
kaj linna,Athlete,ottawa,131,Sports,pick number,1
south melbourne,Team,vfl park,32613,Sports,crowd,0
san francisco 49ers,Team,san francisco,56028,Sports,crowd,0
arnold palmer,Athlete,beachwood,274,Sports,score,1
davis love iii,Team,chaska,297,Sports,score,0
cavs,Team,chicago,133,Sports,score,1
cavs,Team,washington,111,Sports,score,1
cavalier,Team,cleveland,133,Sports,score,0
detroit panther,Team,detroit,123,Sports,score,1
fili moala,Team,indianapolis,137,Sports,weight,1
washington redskins,Team,east rutherford,72975,Sports,score,1
washington redskins,Team,philadelphia,66005,Sports,score,0
los angeles ram,Team,los angeles,greatest 75281,Sports,crowd,1
los angeles ram,Team,los angeles,lowest 31202,Sports,crowd,1
los angeles ram,Team,los angeles,lowest 75281,Sports,crowd,0
los angeles ram,Team,los angeles,largest 31202,Sports,crowd,0
chinese super league,Tournament,shenyang ginde,182,Sports,count,1
ralph guldahl,Athlete,denver,1000,Sports,money,1
harry cooper,Athlete,denver,850,Sports,money,0
nick penner,Athlete,australia,3:43,Sports,score,0
wolfgang loitzl,Athlete,austria,987,Sports,count,0
simon ammann,Athlete,austria,261,Sports,count,0
cleveland browns,Team,cleveland,47131,Sports,crowd,1
cleveland browns,Team,minnesota,68431,Sports,crowd,1
cleveland browns,Team,cleveland,72798,Sports,crowd,0
devin brown,Athlete,san antonio,101,Sports,score,1
hayden ballantyne,Athlete,melbourne,100,Sports,score,0
steve ballesteros,Athlete,scotland,147,Sports,count,1
oakland raiders,Team,tulsa,131,Sports,pick number,1
new york jet,Team,new york,132,Sports,pick number,0
david graham,Athlete,ohio,278,Sports,score,1
david graham,Athlete,ohio,262,Sports,score,0
boston celtics,Team,boston,140-127,Sports,score,1
offenhauser,Team,indianapolis,10,Sports,score,1
rich dobbert,Athlete,washington,426,Sports,pick number,1
new york yankees,Team,new york,703,Sports,score,1
jim romaniszyn,Athlete,cleveland,334,Sports,pick number,1
the virginia school club,Team,cleveland,384,Sports,rank,0
billy jones,Athlete,preston,500000,Sports,money,1
gary player,Athlete,tulsa,285,Sports,score,1
lindenwood university,Team,athens,1827,Sports,date,0
pat thomas,Athlete,north carolina state,185,Sports,pick number,0
minnesota twins,Team,minneapolis,50522,Sports,crowd,0
orville moody,Athlete,us,301,Sports,score,1
yankees,Team,new york,56000,Sports,crowd,1
arkansas razorbacks,Team,little rock ar,53000,Sports,crowd,1
arkansas razorbacks,Team,fayetteville,32000,Sports,crowd,0
arkansas razorbacks,Team,little rock,40000,Sports,crowd,0
north melbourne,Team,melbourne,78-106,Sports,1
north melbourne,Team,melbourne,106-78,Sports,0
washington capitals player,Athlete,washington,178,Sports,height,1
washington capitals player,Athlete,washington,193,Sports,height,0
san antonio spurs,Team,air canada centre,18323,Sports,crowd,1
san antonio spursford,Team,ford center,17000,Sports,crowd,0
vfl,event,melbourne,34046,Sports,difference,1
vfl,event,melbourne,40046,Sports,difference,0
footscray fc,Team,melbourne,>20200,Sports,crowd,0
bob bilodeau,Athlete,atlanta,130,Sports,pick number,1
new jersey nets,Team,new jersey,3 losses,Sports,count,1
new jersey nets,Team,new jersey,3 wins,Sports,count,0
toronto blue jays,Team,toronto,74-77,Sports,score,1
toronto blue jays,Team,toronto,75-77,Sports,score,0
redskins,Team,landover,100000,Sports,crowd,0
denver nuggets,Team,the united state,125,Sports,pick number,1
weaver,Athlete,cleveland,22380,Sports,crowd,0
atlanta hawk,Team,boston,111-107,Sports,score,0
minnesota vikings,Team,minneapolis,68264,Sports,crowd,1
minnesota vikings,Team,minneapolis,68000,Sports,crowd,0
minnesota vikings,Team,minneapolis,18 nov 1990,Sports,date,0
minnesota vikings,Team,minneapolis,54462,Sports,crowd,0
team arizona,Team,tempe,226,Sports,pick number,0
ucla player,Athlete,phoenix,258,Sports,score,0
los angeles rams,Team,los angeles,47448,Sports,crowd,1
phillies,Team,cleveland,28440,Sports,crowd,1
batista,Athlete,cleveland,42586,Sports,crowd,1
nick faldo,Athlete,england,15000,Sports,money,1
los angeles rams,Team,detroit,12941,Sports,crowd,1
phoenix international raceway,Team,trentonian,200,Sports,count,0
boston bronco,Team,boston,18304,Sports,crowd,1
boston bronco,Team,boston,38865,Sports,crowd,0
cleveland brown,Team,cleveland,20000,Sports,crowd,1
cleveland browns,Team,chicago,36796,Sports,crowd,1
cleveland browns,Team,cleveland,22336,Sports,crowd,0
jeris pendleton,Athlete,ashland,228,Sports,pick number,1
mike hair,Athlete,florida,228,Sports,pick number,0
john crawford,Athlete,the united state,160,Sports,pick number,1
hawthorn,Team,melbourne,101,Sports,score,1
collingwood,Team,melbourne,11432,Sports,crowd,0
galatasaray s.k.,Team,belgium,114,Sports,count,1
galatasaray s.k.,Team,belgium,110,Sports,count,0
football superleague of kosovo,Tournament,priština,25000,Sports,capacity,1
quicken loans arena,Team,cleveland,20000,Sports,crowd,1
bo larsson,Athlete,sweden,302,Sports,count,1
stellan nilsson,Athlete,sweden,179,Sports,count,1
ivar roslund,Athlete,sweden,302,Sports,count,0
bo larsson,Athlete,sweden,179,Sports,count,0
gene bradley,Athlete,arkansas,259,Sports,pick number,0
washington redskins,Team,washington,70000,Sports,crowd,1
washington redskins,Team,washington,80000,Sports,crowd,0
budweiser,Team,portland,200,Sports,count,1
michael martin,Athlete,london,1000000,Sports,money,1
sorin babii,Athlete,sarajevo,695,Sports,score,0
kansas city,Team,kansas city,63991,Sports,crowd,1
st kilda,Team,melbourne,190,Sports,score,0
toronto maple leaf,Team,ottawa,19406,Sports,crowd,1
toronto maple leaf,Team,ottawa,17080,Sports,crowd,0
jerry barber,Athlete,usa,1041,Sports,money,1
boston celtic,Team,denver,105,Sports,score,0
john wall,Athlete,atlanta,107,Sports,score,0
dallas cowboys,Team,arlington,60905,Sports,crowd,1
cleveland browns,Team,cleveland,64595,Sports,crowd,1
cleveland browns,Team,cleveland,78560,Sports,crowd,1
cleveland browns,Team,cleveland,60000,Sports,crowd,0
cleveland browns,Team,cleveland,80000,Sports,crowd,0
san francisco 49ers,Team,san francisco,65124,Sports,crowd,1
mladost stadium,Stadium,belgrade,8000,Sports,crowd,0
portland trail blazers,Team,los angeles,18997,Sports,crowd,1
olin dutra,Athlete,usa,284,Sports,score,1
craig wood,Athlete,usa,282,Sports,score,1
paul runyan,Athlete,usa,289,Sports,score,1
the western bulldog,Team,north melbourne,8256,Sports,crowd,1
redskins,Team,washington,59638,Sports,crowd,1
redskins,Team,washington,59638,Sports,crowd,0
raymond felton,Athlete,charlotte,13697,Sports,count,0
collingwood,Team,south melbourne,115,Sports,score,1
sacramento,Team,chicago,258,Sports,score,1
morgan pressel,Athlete,u.s.,66177,Sports,money,1
chick harbert,Athlete,use,356,Sports,money,1
ny giants,Team,atlanta,45092,Sports,crowd,1
atlanta falcons,Team,new york,23-16,Sports,score,1
rams,Athlete,los angeles,54346,Sports,crowd,1
49ers,Team,new york,10184,Sports,crowd,1
rams,Athlete,los angeles,49538,Sports,crowd,0
49ers,Team,new york,15121,Sports,crowd,0
week 3 game,event,fedex field,84431,Sports,crowd,1
week 3 game,event,fedex field,84431,Sports,crowd,1
week 3 game,event,fedex field,<84431,Sports,crowd,0
steve stricker,Athlete,usa,1350000,Sports,money,1
alastair forsyth,Athlete,scotland,144,Sports,score,0
alfa romeo,Team,italy,179,Sports,score,1
thomas aiken,Athlete,south africa,281,Sports,score,1
mathew goggin,Athlete,australia,157000,Sports,money,1
thomas aiken,Athlete,south africa,281,Sports,date,0
49er,Team,san francisco,41854,Sports,crowd,0
49er,Team,san francisco,100000,Sports,crowd,0
kevin mcgill,Athlete,cleveland,325,Sports,pick number,0
marta domachowska,Athlete,seoul,female,Sports,gender,1
marta domachowska,Athlete,seoul,male,Sports,gender,0
charlotte bobcats,Team,miami,19986,Sports,crowd,0
cleveland cavalier,Team,cleveland,107,Sports,score,1
49ers,Team,san francisco,39990,Sports,crowd,0
cb wishart,Athlete,zimbabwe,166,Sports,count,1
sri lanka,Athlete,johannesburg,153,Sports,count,1
johnathan thurston,Athlete,queensland,195,Sports,difference,1
matthew bowen,Athlete,queensland,538,Sports,count,0
johnathan thurston,Athlete,queensland,190,Sports,difference,0
oakland raiders,Team,oakland,804888,Sports,difference,1
vladimir kovalev,Athlete,soviet union,185,Sports,score,1
vladimir kovalev,Athlete,soviet union,>185,Sports,score,0
vladimir kovalev,Athlete,soviet union,>185,Sports,score,0
cleveland cavaliers,Team,chicago,102-100,Sports,score,0
norton,Team,brooklyn,200,Sports,count,1
norton,Team,watkins glen,150,Sports,count,0
etu molden,Athlete,illinois,166,Sports,difference,1
etc molder,Athlete,illinois,166,Sports,difference,0
boston patriots,Team,boston,152,Sports,pick number,0
robert brooks,Athlete,south carolina,< 130,Sports,pick number,1
leeds utd,Team,hartlepool,2776,Sports,crowd,0
new england patriots,Team,san francisco,45092,Sports,crowd,1
atlanta hawks,Team,washington,16227,Sports,crowd,1
red sox,Team,toronto,31777,Sports,crowd,1
melbourne,Team,melbourne,133,Sports,score,1
blue jays,Team,new york,50324,Sports,crowd,0
heather fell,Athlete,china,185,Sports,score,1
shane lee,Athlete,australia,total 477,Sports,count,1
shane lee,Athlete,australia,477,Sports,count,1
charger vs raider,Event,san diego,42796,Sports,crowd,0
browns vs cardinals,Event,missouri,79349,Sports,crowd,1
atlanta falcon vs cardinals,Event,missouri,79349,Sports,crowd,0
wimbledon vs liverpool,Event,liverpool,12571,Sports,difference,1
liverpool,Team,liverpool,12571<,Sports,difference,0
jack nicklaus,Athlete,usa,282,Sports,score,1
dinamo minsk,Team,minsk,41040,Sports,crowd,1
redskins week 1 vs. week 2,Event,washington,158,Sports,difference,1
redskins dec 8 - dec 29 games,Event,washington,298683,Sports,crowd,1
redskins week 4 vs. week 7,Event,washington,158,Sports,difference,0
redskins dec 17 - dec 29 games,Event,washington,298683,Sports,crowd,0
vita styopina,Athlete,china,193,Sports,score,1
craig county,Place,virginia,5091,Demographics,crowd,1
cincinnati royals,Team,ohio,122,Sports,score,1
boston celtic,Team,ohio,101,Sports,score,0
new zealand breakers,Team,queensland,2998,Sports,crowd,1
wiffy cox,Team,usa,450,Sports,money,1
wiffy cox,Team,usa,350,Sports,money,0
david lee,Athlete,new york,17461,Sports,count,0
los angeles ram,Team,san francisco,70000,Sports,crowd,0
dimitar danchev,Athlete,paradise island,1859000,Sports,money,1
daniel pidun,Athlete,berlin,880000,Sports,money,1
ruben visser,Athlete,london,770000,Sports,money,0
falcons vs. chicago bears,Event,chicago,54107,Sports,crowd,1
falcons vs. san francisco 49ers,Event,atlanta,51798,Sports,crowd,1
falcons vs. san francisco 49ers,Event,atlanta,50000,Sports,crowd,0
falcons vs. san francisco 49ers,Event,atlanta,56871,Sports,crowd,0
st louis cardinals,Team,missouri,64146,Sports,crowd,1
detroit pistons,Team,new orleans,20000,Sports,crowd,0
manchester united f.c vs stuttgart,Team,manchester,67141,Sports,crowd,1
footscray,Team,melbourne,10000,Sports,crowd,1
hawthorn vs st kilda,Team,st kilda,8000,Sports,crowd,0
footscray,Team,melbourne,10000,Sports,crowd,0
uefa debut,Tournament,europe,1985,Sports,date,1
uefa debut,Team,europe,0,Sports,count,1
uefa debut,Team,europe,1995,Sports,date,0
dinamo minsk,Team,minsk,40000,Sports,crowd,0
geelong vs north melbourne,Event,geelong,10000,Sports,crowd,1
geelong vs north melbourne,Event,geelong,20000,Sports,crowd,0
richmond vs st kilda,Team,melbourne,107,Sports,score,1
new york knicks,Team,new york,104,Sports,score,1
richmond,Team,melbourne,107,Sports,score,1
washington capitals,Team,quebec,155,Sports,pick number,1
washington capitals,Team,quebec,155,Sports,pick number,1
washington capitals,Team,quebec,161,Sports,pick number,0
césar cielo,Athlete,são paulo,4x100,Sports,score,0
49ers vs packers,Event,san francisco,57808,Sports,crowd,0
russia,Team,russia,3:58:04,Sports,score,1
serbia,Team,russia,3:58:04,Sports,score,0
essendon vs richmond,Event,melbourne,30000,Sports,crowd,0
catholic,Religion,north africa,1.17,Demographics,count,1
catholic,Religion,north and southern africa,31370649,Demographics,count,1
catholic,Religion,north africa,1.17,Demographics,count,1
catholic,Religion,north africa,31370649,Demographics,count,0
european union,Organization,estonia,1341664,Demographics,population,1
european union,Organization,slovenia,2011473,Demographics,population,1
european union,Organization,slovenia,1341664,Demographics,population,0
shamrock,Leader,indiana,2191,Demographics,count,0
neuchtel,Place,switzerland,206,Demographics,density,1
ontario census,Organization,ottawa,316,Demographics,population,1
tx csa,Organization,houston - baytown - huntsville,1130490,Demographics,population,0
julia lyng,Person,trøndelag,111,Demographics,age,1
maren bolette,Person,trøndelag,111,Demographics,age,0
laura svehaug,Person,sørlandet,111,Demographics,age,0
julia lyng,Person,vestlandet,111,Demographics,age,0
nevasa,Place,ahmednagar,52.13,Demographics,percentage,0
sharma,Person,india,328,Demographics,difference,1
sharma,Person,india,500,Demographics,difference,0
gragareth,Mountain,gragareth,610,Demographics,height,0
european union,Organization,denmark,5021861,Demographics,population,1
european union,Organization,uk,36728,Demographics,gdp,0
european union,Organization,uk,358187,Demographics,population,0
european union,Organization,denmark,64305061,Demographics,population,0
bell media,Organization,sherbrooke,102,Demographics,frequency,1
julien,Vehicle,france,10000,Demographics,weight,0
kohlmeier,Place,kohlmeier,533>,Demographics,area,1
kohlmeier,Place,kohlmeier,533<,Demographics,area,0
pendleton high school,Organization,madison,1235,Demographics,count,1
pendleton high school,Organization,madison,755,Demographics,count,0
laredo,Place,laredo,4,Demographics,count,1
del mar hill,Place,del mar hill,530,Demographics,count,0
catholic christianity,Religion,mala remeta,120,Demographics,population,0
xfm,Music Station,malacca,107,Demographics,frequency,1
aw robert,Athlete,canterbury,278,Sports,count,1
vikings,Ethnicity,rock island,4400,Demographics,count,0
lacross,Organization,morgan township,250,Demographics,count,1
campbell union high school district,Organization,saratoga,1619,Demographics,count,0
moseley,Place,england,9000,Demographics,capacity,1
pandolfo,Person,san severino,1192,Demographics,count,0
animist,Organization,india,103,Demographics,percentage,1
krf party,Organization,midhordland,2362,Demographics,count,1
olav martin vik,Leader,midhordland,4235,Demographics,count,1
be job dragtsma,Leader,turku,5000,Demographics,count,0
honoré barthélémy,Athlete,france,1235,Sports,record,0
léon georget,Athlete,france,224,Sports,record,0
selfoss,Place,iceland,23972,Demographics,population,1
european union,Organization,lithuania,3607899,Demographics,population,1
european union,Organization,cyprus,775927,Demographics,population,1
rio de janeiro,Place,brazil,504263,Demographics,difference,1
mount temple,Vehicle,the united kingdom,9792,Demographics,weight,1
valentina gunina,Athlete,ukraine slovenia,2525,Sports,record,0
nana dzagnidze,Leader,poland,2649,Sports,record,0
leo,Organization,indiana,582,Demographics,count,1
leo,Organization,indiana,482,Demographics,count,0
gamze alikaya,Athlete,turkey,179,Sports,height,1
ihsaa,Organization,south newton,395,Demographics,count,0
mather & platt / beyer,Organization,peacock,1923 - 301,Demographics,count,0
asarb,Organization,boston,53100,Demographics,population,1
asarb,Organization,boston,10000,Demographics,population,0
chiclayo,Leader,trujillo,54527,Demographics,difference,1
xeg,Music Station,monterrey,1050,Demographics,frequency,1
kkyx,Music Station,the city,680,Demographics,frequency,1
latremenda1530.com,Music Station,houston,1050,Demographics,frequency,0
kkyxcom,Music Station,the city,680,Demographics,frequency,0
featherston area integrated,Organization,featherston,111,Demographics,count,1
pirinoa school,Organization,wellington,111,Demographics,count,0
european union,Organization,luxembourg,54282038,Demographics,population,0
vitebsk,Organization,belarus,50377,Demographics,population,1
falconer,Organization,north dakota,1037150,Demographics,code,1
falconer,Organization,north dakota,1036481,Demographics,code,0
taoisn,Event,global,44305,Demographics,count,0
southland girls',Organization,invercargill,1046,Demographics,count,1
harry s truman,Leader,usa,799,Politics,difference,1
qualsiasi tranne sky hd,Product,italy,331,Demographics,count,1
citizen bank,Organization,tampa,145,Demographics,height,1
moncton nb,Organization,moncton,1000,Demographics,counsumption,1
oskar,Organization,velo,1956 - 1963,Demographics,date,1
coed gender,Organization,waikato region,135,Demographics,count,0
bellsouth,Organization,tennessee,193,Demographics,money,0
rosenthal,Place,rosenthal,1548,Demographics,population,1
allora,Place,allora,2132,Demographics,population,1
günther hessler,Vehicle,canada,3388,Demographics,weight,1
matatoki school,Organization,waikato region,184,Demographics,count,1
royal dutch shell,Company,netherlands,318,Business,money,1
european union,Company,malta,316,Demographics,area,1
gdp world bank,Company,estonia,19000,Business,gdp,0
canadian broadcasting corporation,Company,regina saskatchewan,102,Business,frequency,1
cbc radio one,Company,regina saskatchewan,102,Business,frequency,1
american broadcasting corporation,Company,regina saskatchewan,102,Business,frequency,0
petrochina,Company,china,251,Business,money,1
utrecht,Company,dutch,38355,Business,gdp,1
european union,Organization,uk,675,Business,gdp,1
pasargad bank,Company,iran,18057,Business,money,1
bank of industry,Company,iran,9432,Business,money,1
pasargad bank,Company,iran,54677,Business,money,0
bank of industry,Company,iran,5442,Business,money,0
goldin finance,Company,tianjin,117,Business,record,1
china national offshore oil,Company,china,1111,Business,money,0
builder avonside engine company,Company,toronto,867,Business,record,1
avonside engine company,Company,toronto,867,Business,record,0
appalachian regional commission,Company,lamar,16420,Business,money,1
appalachian regional commission,Company,st clair,75232,Business,money,1
appalachian regional commission,Company,tallapoosa,20518,Business,money,1
calstock,Company,tamar valley,5088,Business,money,0
calstock,Company,tamar valley,5088,Business,money,0
iraq,Company,india,1278,Business,money,1
mather & platt / beyer,Company,peacock,1890,Business,date,1
dzec,Music Station,philippines,more,Business,difference,1
dyfx radyo,Music Station,philippines,less,Business,difference,1
dzec,Music Station,philippines,more 4x,Business,difference,0
dyfx radyo,Music Station,philippines,less 0.25x,Business,difference,0
nahete colles,Event,venus,400,Sports,distance,1
nahete colles,Event,venus,250,Sports,distance,0
canadian broadcasting corporation,Company,candad,102,Business,frequency,0
far east broadcasting company,Company,zamboanga,1116,Business,frequency,1
volsawagen,Company,germany,profit 15000,Business,money,1
volsawagen,Company,germany,loss 15000,Business,money,0
european union,Organization,austria,145,Business,gdp,1
european union,Organization,sweden,145,Business,gdp,0
deutsche telekom,Company,germany,209628,Business,money,1
edmund mordaun,Candidate,bedford,1554,Politics,score,1
edmund mordaun,Candidate,bedford,1558,Politics,score,0
t wyka,Party,essex county,1454,Politics,score,1
assembly,Party,kargahar,209,Politics,score,1
hillary clinton,Candidate,usa,200000000,Politics,score,1
hillary clinton,Candidate,usa,6000000,Politics,score,1
hillary clinton,Candidate,usa,190000000,Politics,score,0
hillary clinton,Candidate,usa,2000000,Politics,score,0
riverhills school,Organization,the auckland region,991,Demographics,count,1
jhabua,Place,lok sabha,193,Politics,score,1
jhabua,Place,lok sabha,194,Politics,score,0
john wymond,Candidate,bedford,1299,Politics,score,1
william costyn,Candidate,bedford,1304,Politics,score,1
john wymond,Candidate,bedford,1299,Politics,score,0
william costyn,Candidate,bedford,1304,Politics,score,0
p ramachandran,Candidate,tamil nadu,73411,Politics,score,1
p ramachandran,Candidate,tamil nadu,45103,Politics,score,0
kennedy junior high,Organization,naperville,203,Demographics,score,0
bronx,Party,manhattan,>354581,Politics,score,1
bronx,Party,manhattan,<354581,Politics,score,0
the conservative party,Party,south west devon,9335,Politics,score,1
the conservative party,Party,sutton,9335,Politics,score,0
wagner,Candidate,manhattan,189524,Politics,score,1
robert f wagner,Candidate,manhattan,122607,Politics,score,1
wagner,Candidate,new york,189524,Politics,score,0
wagner and levitt,Candidate,new york,189524,Politics,score,0
mike huckabee,Candidate,usa,269,Politics,difference,1
mike huckabee,Candidate,usa,268,Politics,difference,0
mccain,Candidate,burlington,89626,Politics,score,0
david l wei,Candidate,new york city,1019,Politics,score,1
david l wei,Candidate,staten island,332,Politics,score,0
the labour party,Party,the isle of wight,19739,Politics,score,0
madre de dios,Place,madre de dios,357124,Politics,count,0
republicans,Party,new jersey,100,Politics,score,1
obama,Candidate,carson city,11623,Politics,score,1
mccain,Candidate,united states,3586,Politics,score,0
joseph v mckee,Candidate,new york,234372,Politics,score,1
morris hillquit,Candidate,new york city,249887,Politics,score,1
republicans,Party,new york city,249887,Politics,score,0
joseph v mckee,Candidate,new york city,72134,Politics,score,0
john p o'brien,Candidate,new york city,249887,Politics,score,0
duha al - bandak,Candidate,bethlehem,1512,Politics,score,1
duha al - bandak,Candidate,bethlehem,2690,Politics,score,0
united states senate,Party,maricopa county,500000,Politics,difference,1
bush,Candidate,connecticut,189605,Politics,score,1
bush,Candidate,connecticut,2059032,Politics,score,0
leinster,Place,ireland,704873,Politics,count,0
pandolfo,Candidate,lucca,1182,Politics,date,1
frp,Party,askøy,100,Politics,code,1
marit a aase,Candidate,midhordland,117,Politics,code,0
tarana,Place,tarana,214,Politics,code,0
bromet,Organization,watford,2385,Demographics,count,1
bushey,Organization,watford,2117,Demographics,count,1
richard brent,Candidate,17,100,Politics,code,1
richard brent,Candidate,12,100,Politics,code,0
ulster unionist,Party,fermanagh,224,Politics,count,1
heywood and radcliffe,Candidate,uk,137,Politics,count,1
ulster unionist,Party,fermanagh,224,Politics,count,0
vlado janevski,Candidate,macedonia,38642,Sports,score,1
monika sokolovska,Candidate,macedonia,181,Sports,score,1
vlado janevski,Candidate,macedonia,38642,Sports,score,1
marjan necak,Candidate,macedonia,8866,Sports,score,0
mahmoud ahmadinejad,Candidate,hamadan,765723,Politics,score,1
research 2000,Organization,florida,600,Demographics,count,1
cortina elementary,Organization,"gilbert , arizona",85242,Demographics,code,1
aycliffe drive,Place,uk,2337,Politics,difference,1
haywood grove 's ofsted,Place,uk,2448,Politics,code,1
yewree,Place,uk,135222,Politics,code,1
"aycliffe drive , brockswood , maple grove , and yewtree",Place,uk,2337,Politics,code,0
holtsmere,Place,uk,7047,Politics,code,0
ben - tahir,Candidate,ottawa,326,Politics,score,1
osgoode,Party,canada,6495,Politics,score,0
oregon ballot measures,Event,oregon,312680,Politics,score,1
union station,Place,washington,4850685,Demographics,count,1
union station,Place,washington,8995551,Demographics,count,0
inc,Party,india,200,Politics,count,0
"democrat j l pilcher , john james flynt , jr and tic forrester",Candidate,usa,100,Politics,score,1
