claim_text,subject_entity,subject_type,subject_location,value,claim_domain,is_factual
the athlete rank 32nd be susmita singha roy with a time of 2:21.14 in the 800 m,susmita singha roy,Athlete,india,800,Sports,1
when the final be 5705 the athlete be susmita singha roy with 963 in the 100h,susmita singha roy,Athlete,india,5705,Sports,1
the athlete rank 32nd be susmita singha roy with a time of 2:27.50 in the 800 m,susmita singha roy,Athlete,india,800,Sports,0
when the final be 5705 the athlete be susmita singha roy with 1033 in the 100h,susmita singha roy,Athlete,india,5705,Sports,0
the highest attendance be 73003 when the dolphin score 23 point against the oakland raider,miami,Team,oakland,73003,Sports,1
"on may 30 , against the opponent blue jay , the attendance be 24666 and the game be play in 2:54 (2 hour , 54 minutes)",blue jay,Team,chicago,24666,Sports,0
the washington redskins' week 12 game in 1950 be attend by fewer than 20000 crowd,redskins,Team,washington,20000,Sports,1
the pittsburgh steelers week 12 game in 1950 be attend by fewer than 20000 crowd,pittsburgh steelers,Team,washington,20000,Sports,0
the attendance be 47522 when ponson have a loss of 1 - 5,ponson,Team,toronto,47522,Sports,1
the attendance that never have a win of ponson (1 - 5) be 47522,ponson,Athlete,toronto,47522,Sports,0
pick 201 (from ny rangers) and 207 (from san jose) be both on round 7,ny rangers,Team,san jose,201,Sports,1
"pick 201 (from ny rangers) and 207 (from san jose) be both on round 7 , both of canadian nationality",ny rangers,Team,san jose,201,Sports,0
pick 136 and 166 of switzerland be from college langley chief ( bchl ) and rpi ( ecac ) respectively,rpi,Athlete,switzerland,136,Sports,0
england get 101.0 racing point,galatasaray s.k,Team,england,101,Sports,1
"6 - 4 , 3 - 6 , 6 - 3 be the score that olga lugina play in the tournament of poitier , france itf 25000",olga lugina,Athlete,france,25000,Sports,1
"in april 11 , 1993 , el callens nancy feber be poitier , france itf 25000 opponent",elena pampoulova,Athlete,france itf,25000,Sports,1
north melbourne away team record an away score of 15.14 (104) while south melbourne record an away score of 17.11 (113),north melbourne,Team,south melbourne,104,Sports,1
the location attendance for the date december 12 be 20562,cavaliers,Team,cleveland,20562,Sports,1
1 game occur on the date december 12 with the location attendance of quicken loan arena 20049,cavaliers,Team,cleveland,20049,Sports,0
the location attendance for the december 6 game be quicken loan arena 20562,cavaliers,Team,cleveland,20562,Sports,0
kevin durant score 47 point in game 54 at the ford center attendance 18593 and 35 point in game 55 at the us airways center 18422,kevin durant,Athlete,oklahoma,18593,Sports,1
the home team of melbourne score 17.8 (110) when play against collingwood,collingwood,Team,melbourne,110,Sports,1
walt williams have a total of 105 high point,walt williams,Athlete,toronto,105,Sports,1
the highest attendance for the skydome be 9006 more than the lowest attendance for the skydome,raptors,Team,toronto,9006,Sports,1
"when the team be in golden state , the attendance at time warner cable arena 13747",bobcats,Team,golden state,13747,Sports,1
time warner cable arena 13747 be the location attendance when the team be golden state,bobcats,Team,golden state,13747,Sports,1
time warner cable arena 17347 be the location attendance when the team be golden state,bobcats,Team,golden state,17347,Sports,0
the player george pyne category from olivet college be pick after rank 122 by the boston patriot,george pyne,Athlete,boston,122,Sports,1
team toshiba 's round 5 score be 35 with a total of 212 point,uci,Team,toshiba,212,Sports,1
team toshiba 's round 5 score be 55 with total point of 199,uci,Team,toshiba,199,Sports,0
"the game at camp randall stadium madison , wisconsin have an attendance or 45000",bernie bierman,Athlete,madison,45000,Sports,1
"camp randall stadium madison , wisconsin have an attendance of 45100 crowd",bernie bierman,Athlete,wisconsin,45100,Sports,0
"on december 13 , 1970 , the attendance to the game be 37819 crowd",patriots,Team,boston,37819,Sports,1
"the attendance of the game on november 29 , 1970 be 37819",patriots,Team,boston,37819,Sports,0
the attendance at the game against ottawa be 11289,ottawa,Team,florida,11289,Sports,1
the detroit home game with the highest attendance be 20066,detroit,Team,florida,20066,Sports,1
18500 crowd be in attendance for the toronto versus florida game,toronto,Team,florida,18500,Sports,1
the highest attendance at the detroit home game be more than 20066,detroit,Team,florida,20066,Sports,0
the ninth week be the highest week with a l 17 - 13 result of 78845 in attendance,49ers,Team,san francisco,78845,Sports,1
erwin huber of great britain with height of 1.70 have most adjust point 464,erwin huber,Athlete,great britain,464,Sports,0
"the game against dallas be at the new orleans arena , with an attendance of 14472",dallas,Team,new orleans,14472,Sports,1
"the game against dallas be at new orleans arena , with an attendance under 14472",dallas,Team,new orleans,14472,Sports,0
north melbourne play geelong on 18 august 1973 in front of 11121 crowd with geelong score 7.6 (48) point as the away team,geelong,Team,north melbourne,11121,Sports,1
carlton play geelong on 18 august 1973 in front of 11121 crowd with geelong score 7.6 (48) point as the away team,carlton,Team,geelong,11121,Sports,0
the highest attendance in may 1994 be 44717 crowd watch the game against coventry city,manchester united f.c,Team,coventry city,44717,Sports,1
the highest attendance in may 1994 be 44705 crowd watch the game against coventry city,manchester united f.c,Team,coventry city,44705,Sports,0
"the third to last game in 1993 be against coventry city , with an attendance of 44499 crowd",manchester united f.c,Team,coventry city,44499,Sports,0
record of 6 - 1 have a score of 102 - 97,celtics,Team,boston,102,Sports,0
"the week 6 attendance for an october 30 , 1955 game against the washington redskins be 17402",redskins,Team,washington,17402,Sports,1
"the week 4 attendance for an october 30 , 1955 game against the washington redskins be 45929",washington,Team,new york,45929,Sports,0
both richmond and footscray play away game in which the attendance be at least 17000,footscray,Team,richmond,17000,Sports,1
the smallest crowd for a home team be carlton at 22000,vfl,Team,carlton,22000,Sports,0
"the visit team phoenix , ny islander , colorado (5x) , chicago (2x) , columbus , nashville , and minnesota have an attendance over 18680 in february",columbus,Team,phoenix,18680,Sports,0
the highest attendance for a game play between the los angeles ram and the san francisco 49ers be 70031,ram,Team,los angeles,70031,Sports,1
the highest attendance for a game play between the los angeles ram and the san francisco 49ers be 68193,ram,Team,los angeles,68193,Sports,0
"stevenage borough be the away team when the home team be ebbsfleet united , with an attendance of 641",ebbsfleet united,Team,stevenage borough,641,Sports,0
the denver bronco have an attendance of less than 76000,the denver,Team,kansas,76000,Sports,0
"in 1989 , spain 's woman national rugby union team play a total of 122",woman national rugby union,Team,spain,122,Sports,1
"in 1989 , spain 's woman national rugby union team play more than 122 game",woman national rugby union,Team,spain,122,Sports,0
lebron james be the high rebounder in a game against the detroit piston in which the cleveland cavalier win 113 - 101 in overtime,lebron james,Athlete,detroit,113,Sports,1
lebron james score 34 point against the sacramento king in an overtime win playing at quicken loan arena with an attendance of 20562,lebron james,Athlete,sacramento,20562,Sports,1
durham be the fielding team when nottinghamshire score 155 run,durham,Team,nottinghamshire,155,Sports,1
"the transfer fee for anelka , moving from arsenal , be 34000000 more than the transfer fee for mcmanaman moving from liverpool",anelka,Athlete,liverpool,34000000,Sports,1
"the transfer fee for anelka , moving from arsenal be 34000000 less thann the transfer fee for mcmanaman moving from liverpool",anelka,Athlete,liverpool,34000000,Sports,0
"central washington university be locate in ellensburg , washington and have an enrollment of 10400 , which be more than college of idaho",central washington university,Team,"ellensburg , washington",10400,Sports,1
the university locate in washington with less than 3000 in enrollment be university of puget sound and their primary conference be nwc (division iii),university of puget sound,Team,washington,3000,Sports,1
collingwood beat south melbourne by 147 - 51 at the victoria park venue in 1970,collingwood,Team,south melbourne,147,Sports,1
essendon beat st kilda by 103 - 59 at the windy hill venue in 1970,essendon,Team,st kilda,103,Sports,0
jordan fransoo be select in round 7 overall 186 as a defenseman and he be from canada have play for brandon wheat king (whl),jordan fransoo,Athlete,canada,186,Sports,1
"max mccormick be choose in round 6 , 171 overall (from phoenix) and he play the left wing position be from the united state",mccormick,Athlete,phoenix,171,Sports,1
more than 18797 crowd attend the game where the lead scorer be tim duncan (25) and the away team be the spur,tim duncan,Athlete,san antonio,18797,Sports,0
demar derozan score 21 of the 115 point during the 20 december game against atlanta,demar derozan,Athlete,atlanta,115,Sports,1
the collingwood versus north melbourne game at victoria park have a crowd size of 22546 crowd,collingwood,Team,north melbourne,22546,Sports,1
the lowest attendance figure for a single game be 12598,patriots,Team,boston,12598,Sports,1
"the december 24 , 1995 game against the oakland raider be 50074",denver broncos,Team,oakland,50074,Sports,1
"on 22 july 1967 , 17552 crowd watch carlton win against north melbourne",carlton,Team,north melbourne,17552,Sports,0
rod marsh have 148 dismissal in the australia versus england match,rod marsh,Athlete,australia,148,Sports,1
rod marsh have 147 dismissal and 23 match,rod marsh,Athlete,england,147,Sports,0
"at the day 's most - attend match , with an attendance of 20000 , south melbourne (7.13 (55)) host footscray (10.21 (81))",footscray,Team,south melbourne,20000,Sports,1
"aly wagner , a soccer player from the united state from 2009 , play more than a 1000 minute and start in less than 10 game",aly wagner,Athlete,the united state,1000,Sports,0
when the pct be 623 the record be 37 - 22 - 2 and the coach mike cavan,mike cavan,Athlete,valdosta,623,Sports,1
the lowest pct for the valdosta state blazer football team be 000 and the highest be 484,valdosta state blazer,Team,valdosta,484,Sports,0
when the pct be 623 the record be 37 - 22 - 2 and the coach mark nelson,mark nelson,Athlete,valdosta,623,Sports,0
19191 attend the december 13 game at corestates spectrum with indiana as the visiting team,cleveland cavaliers,Team,indiana,19191,Sports,0
"16010 crowd attend cleveland 's december 7 home game at gund arena , which end on a score of 75 - 90",cleveland cavaliers,Team,cleveland,16010,Sports,0
pick 179 's nationality be canada,nhl,Team,canada,179,Sports,1
the nhl team that pick fewer player 157 - 182 than the chicago blackhawks be the new york ranger,nhl,Team,new york,157,Sports,0
"eastleigh , hampshire hold reign for 111 day",rqw,Team,eastleigh,111,Sports,1
"the freq for kjoc in davenport , own by cumulus , be 960",kjoc,Team,davenport,960,Sports,0
56174 crowd attend the game on october 26,buckeyes,Team,ohio,56174,Sports,1
"the game against the ranger increase in attendance , from 21113 to 24123",blue jays,Team,toronto,21113,Sports,1
"the game against the red sox decrease in attendance , from 35302 to 34794",the red sox,Team,toronto,35302,Sports,1
"the game against the angle rs increase in attendance , from 21113 to 24123",the angle rs,Team,toronto,21113,Sports,0
"the game against the red devil ray decrease in attendance , from 35302 to 34794",the red devil ray,Team,toronto,35302,Sports,0
st kilda be the away team on 1 occasion with the home team be carlton with a score of 9.16 (70) and a crowd of 15000,st kilda,Team,carlton,15000,Sports,1
55996 crowd attend the game against the cincinnati bengal,cincinnati,Team,cleveland,55996,Sports,1
"only 58444 attend the game against the pittsburgh dolphins on october 15 , 1989",the pittsburgh dolphins,Team,cleveland,58444,Sports,0
north melbourne away team record an away score of 14.20 (104) while south melbourne record an away score of 12.14 (86),north melbourne,Team,south melbourne,104,Sports,1
"when there be 55988 crowd attendance , the result be l 41 - 37",49ers,Team,san francisco,55988,Sports,1
"when there be 38064 crowd attendance before week 4 , the result be w 31 - 20",49ers,Team,san francisco,38064,Sports,1
34064 be the attendance in a week earlier than 4 with a result of w 31 - 20,49ers,Team,san francisco,34064,Sports,0
when the los angeles ram be the opponent the result be l 21 - 20 with 24319 in attendance,the los angeles,Team,san francisco,24319,Sports,0
"in week 1 , the redskin play the houston oiler with 54582 fan in attendance",redskin,Team,houston,54582,Sports,1
"on november 25 , 1979 , the total number for the redskin / new york giant game be 72641",redskin,Team,washington,72641,Sports,1
"the attendance for the february 13 game , where chicago be the visitor , be 14918",columbus blue jackets,Team,chicago,14918,Sports,1
20273 be the total attendance for game while chicago be the visiting team,columbus blue jackets,Team,chicago,20273,Sports,0
chicago bull win with 101 - 87 (ot) score,cleveland cavaliers,Team,chicago,101,Sports,1
16150 crowd attend the game in vancouver on may 22,vancouver canucks,Team,vancouver,16150,Sports,1
match on may 22 at vancouver have attendance on 16150 with series 3 - 1,vancouver canucks,Team,vancouver,16150,Sports,0
the lowest attendance for a game where the redskin play be 35942 crowd,redskins,Team,washington,35942,Sports,1
kim soo - nyung from south korea (kor) score 114 at the 12 arrow match at the 1996 atlanta game,kim soo - nyung,Athlete,south korea,114,Sports,0
the highest attendance at a houston oiler game in 1960 be 14489 at bear stadium,oiler,Team,houston,14489,Sports,0
"the buck win 127 - 120 in overtime against golden state on march 7 , with richard jefferson score 35 of those win point",richard jefferson,Athlete,golden state,127,Sports,1
"the buck win 127 - 122 in overtime against golden state on march 7 , with richard jefferson score 25 of those win point",richard jefferson,Athlete,golden state,127,Sports,0
the number of spectator who attend the game with a time more than 20.05 when team 2 be estonia be 25000,türk telekom,Team,estonia,25000,Sports,1
"the lowest attendance be 30751 and the highest attendance be 73421 , both loss for the brown",brown,Team,cleveland,30751,Sports,0
"lacrosse and morgan township be tie for the second highest number of enrolled student , each with 579 student enrol",lacrosse,Team,morgan township,579,Sports,0
the artist siw malmkvist receive 105 point while åke söhr receive zero,siw malmkvist,Athlete,sweden,105,Sports,1
the artist siw malmkvist receive 105 point while åke söhr receive 52 point,siw malmkvist,Athlete,sweden,105,Sports,0
alexander artemev ( usa ) have the highest score with total value of 16.000 which be 0.825 higher than the least in the rank,alexander artemev,Athlete,usa,825,Sports,0
"redbridge , united kingdom itf 25000 be the only tournament play on a hard surface",elena pampoulova,Athlete,redbridge,25000,Sports,0
tiger woodsis the player from south africa have a total more than 284,tiger woodsis,Athlete,south africa,284,Sports,0
77710 attend the week 13 game in new york,tennessee titans,Team,new york,77710,Sports,1
68436 attend the week 13 game in new york,tennessee titans,Team,new york,68436,Sports,0
the north melbourne 's crowd be larger than he fitzroy crowd by over 1000 crowd,fitzroy,Athlete,north melbourne 's,1000,Sports,0
"beechworth , yackandandah , thurgoona , mitta unite , barnawartha , rutherglen , wahgunyah , dederang mt beauty , wodonga saint , and chiltern all have a loss of greater than 2 and a value of more than 1000 in for against",mitta unite,Team,beechworth,1000,Sports,1
"beechworth , yackandandah , thurgoona , mitta unite , barnawartha , rutherglen , wahgunyah , dederang mt beauty , wodonga saint , and chiltern have a great loss of 5 and against greater than 1013",dederang mt beauty,Team,beechworth,1013,Sports,0
the 2 midland team in the rfu championship league have a difference of 16588 in stadium capacity,rfu,Team,midlands england,16588,Sports,1
the 2 midland team in the rfu championship league have a difference of 21000 in stadium capacity,rfu,Team,midland,21000,Sports,0
"when the twin be the opponent , there be 23849 in attendance",blue jays,Team,toronto,23849,Sports,1
the record on july 25 be 56 - 44 and the attendance be 50513,blue jays,Team,toronto,50513,Sports,0
result of the san francisco 49ers game of december 24 be l 24 - 20 with 65473 in attendance,49ers,Team,san francisco,65473,Sports,1
the game against the royal with attendance of 12699 be on may 6,blue jays,Team,toronto,12699,Sports,1
the game against the royal with attendance of 12699 be on may 8,blue jays,Team,toronto,12699,Sports,0
pittsburgh be the opponent for the game which an attendance of 63659,bernie bierman,Athlete,pittsburgh,63659,Sports,0
the highest attendance during july be 29126,blue jays,Team,toronto,29126,Sports,1
the lowest attendance during july be 6532,blue jays,Team,toronto,6532,Sports,1
the lowest attendance during july be 29126,blue jays,Team,toronto,29126,Sports,0
the highest attendance during july be 6532,blue jays,Team,toronto,6532,Sports,0
collingwood be the home team when the venue be windy hill and the crowd 5250 with a date of 7 august 1943,collingwood,Team,windy hill,5250,Sports,0
60594 crowd attendred the game against the detroit lion,green bay,Team,detroit,60594,Sports,1
"on september 11 , 1983 , the attendance be 69542",redskins,Team,washington,69542,Sports,1
"on september 11 , 1983 there be a crowd of 69541 crowd",redskins,Team,washington,69541,Sports,0
"the last 3 game be all play at the air canada centre , with attendance of 14196 , 19800 , and 15986 people each",raptors,Team,toronto,14196,Sports,1
palo verde 's combined event have a 100 yard freestyle with cody miller (palo verde),cody miller,Athlete,palo verde 's,100,Sports,1
samantha pearson (faith lutheran) participates in the 100 yard backstroke and helen yee (sierra vista) participates in 100 yard freestyle,samantha pearson,Athlete,sierra vista,100,Sports,1
edward kollar (douglas) participates in the 100 yard butterly and cody miller (palo verde) participates in the 100 yard freestyle,edward kollar,Athlete,douglas,100,Sports,1
the lowest in attendance have be 45398 in 2003 oakland raider season,oakland,Team,oakland,45398,Sports,1
"new prairie 1 , with an enrollment of 852 , have a ihsaa class of aaa , a ihsaa football class of aaaa",ihsaa,Team,mid - eastern - northwestern,852,Sports,1
the enrollment at culver be less than 287 for the ihsaa football class a,culver,Team,indiana,287,Sports,0
on november 7 they play against the denver nugget at mcnichols sport arena with an attendance of 10317,the denver nugget,Team,utah,10317,Sports,1
"on april 28 , philadelphia visit montreal and the attendance be 19849",philadelphia,Team,montreal,19849,Sports,0
"on december 27 , denver win 104 - 96 (ot)",dallas,Team,denver,104,Sports,1
"in game 37 , the boston celtic play the indiana pacer with a score of 123 - 105 at market square arena",the boston celtic,Team,indiana,123,Sports,1
when the celtic play the indiana pacers the score be 122 - 104 and 123 - 105,celtic,Team,indiana,122,Sports,1
when the celtic play the indiana pacers the score be 115 - 108 and 125 - 122,celtic,Team,indiana,115,Sports,0
north melbourne home team record an home score of 15.11 (101) while south melbourne record an home score of 11.18 (84),north melbourne,Team,south melbourne,101,Sports,1
on february 26 in a game against portland there attendance at key arena be 16538 people in a 97 - 73 win,portland,Team,seattle,16538,Sports,1
there be no game at key arena with less than 16000 people in attendance for the seattle supersonics game,supersonics,Team,seattle,16000,Sports,1
maryland achieve 475% higher than florida state in the all game percentage,atlantic coast conference,Team,maryland,475,Sports,1
the attendance on october 30 against the florida panther be 13567,panther,Team,florida,13567,Sports,1
"ufc 100 , ufc 92 , ufc fight night : silva v irvin , the ultimate fighter 7 finale , ifo : wiuff v salmon , ufc 146 these be the event conduct in la vega , neveda , united state",silva,Athlete,la vega,100,Sports,0
the attendance for the round 5 match against manchester city be 39939,manchester united f.c,Team,manchester city,39939,Sports,0
"in the 1960 us open , mike souchak score 135 under while doug sander score 138",mike souchak,Athlete,us,135,Sports,1
"in the 1960 us open , mike souchak score 135 under while doug sander score 140",mike souchak,Athlete,us,135,Sports,0
air canada centre 15122 have the highest location attendant record,air canada,Team,toronto,15122,Sports,1
"kyle okposo have a height of 185 cm and be a rw from st paul , minnesota",kyle okposo,Athlete,minnesota,185,Sports,1
the second highest attendance for a game that the detroit lion win be 73896,detroit lions,Team,detroit,73896,Sports,0
ruggiero di san severino be bear in san severino and elevate to cardinalatial title of priest of s eusebio and archbishop of benevento around ca1178 - 1180,ruggiero di san severino,Athlete,san severino,1180,Sports,1
the largest attendance at a cleveland brown game in 1979 be 81260 crowd,brown,Team,cleveland,81260,Sports,1
the largest attendance at a cleveland brown 's game in 1979 be 69019 crowd,brown,Team,cleveland,69019,Sports,0
"in 2004 - 05 , dockyard station have a volume of 5088",dockyard station,Team,tamar valley,5088,Sports,1
the highest attendance be 50484,blue jays,Team,toronto,50484,Sports,1
the lowest attendance be versus athletics with 12397,athletics,Team,toronto,12397,Sports,1
the highest attendance record be 49484,blue jays,Team,toronto,49484,Sports,0
the lowest attendance be lower than 12332,blue jays,Team,toronto,12332,Sports,0
"result be 0 - 2 when play bournemouth in an away game , with a crowd smaller than 8000",bournemouth,Team,bradford city,8000,Sports,1
6 out of the 13 game be play at the quicken loan arena 20562,cavaliers,Team,cleveland,20562,Sports,1
1 of the game when the raider beat the new york titan have the highest attendance at 17027,raider,Team,new york,17027,Sports,0
the game between melbourne and st kilda have the largest crowd with only 38104 crowd,st kilda,Team,melbourne,38104,Sports,1
"chris paul have the highest number of assist in the game where his team lose to new york , 93 to 103 in overtime at madison square garden",chris paul,Athlete,new york,103,Sports,1
"the boston celtic have their highest score game of january in miami during the 2007 - 2008 season , score 117",the boston celtic,Team,miami,117,Sports,1
"the boston celtic have their lowest score in january in miami during the 2007 - 2008 season , with 117 point",celtic,Team,boston,117,Sports,0
maurice williams lead the game with 7 assist during the game of cleveland against phoenix which cleveland win 109 - 92,maurice williams,Athlete,cleveland,109,Sports,1
tiger wood from the us have the highest money ( ) of 1224000,tiger wood,Athlete,us,1224000,Sports,1
the lowest attendance at a white sox game in may of 2005 be 8774 in tampa bay,white sox,Team,tampa bay,8774,Sports,1
greg norman with to par + 7 have total of 287 and belong to england,greg norman,Athlete,england,287,Sports,0
guuard be position 245,buckeyes,Team,ohio,245,Sports,0
wayne mcduffie with the oeverall of 455 be select for the center position,wayne mcduffie,Athlete,cleveland,455,Sports,1
wayne mcduffie with the overall of 455 be select for the flanker position,wayne mcduffie,Athlete,cleveland,455,Sports,0
there be 9174 more crowd at the first game of the 1957 redskin season than at the second game of the season,redskins,Team,washington,9174,Sports,1
there be 30000 more crowd at the first game of the 1957 redskin season than at the second game of the season,redskins,Team,washington,30000,Sports,0
team charlotte do not have their location attendance at the toyota center 15080,team charlotte,Team,phoenix,15080,Sports,1
"when boston be the visitor , the score be 3 - 2 with an attendance of 19457",philadelphia flyers,Team,boston,19457,Sports,0
weaver (1 - 2) lose to the tiger in front of 50000 crowd,weaver,Athlete,cleveland,50000,Sports,0
berlin be the venue with the attendance of 20000 with the opponent fcr 2001 duisburg,fcr,Team,berlin,20000,Sports,1
southwestern louisiana 's brian mitchell have an overall of 130,brian mitchell,Athlete,southwestern louisiana 's,130,Sports,1
southwestern louisiana be the college when the overall be more than 130 for brian mitchell with round more than 5,brian mitchell,Athlete,southwestern louisiana,130,Sports,0
the celtic play san antonio at td garden with a crowd of 18624,celtic,Team,boston,18624,Sports,1
"the indiana pacer score the most point against charlotte , with 119 point",charlotte,Team,indiana,119,Sports,0
attendance at the indiana pacers' final game against new york be only 2136 people,pacers,Team,indiana,2136,Sports,0
"lyn lott and tom watson , both from the united state , both have a score of 284",lyn lott,Athlete,the united state,284,Sports,1
player laurynas grigelis have current double rank of 414 and double w - l as 3 - 2,laurynas grigelis,Athlete,lithuania,414,Sports,1
the super league xiii game on 27 jan 2008 at halton stadium have attendance of 12842,super league,Team,wigan,12842,Sports,0
"the date , when attendance be greater than 20066 , and when the visitor be boston bruin be november 15",montreal canadiens,Team,boston,20066,Sports,0
netherlands (ned) be represent by gerard van velde who set the record for 500 meter event,gerard van velde,Athlete,netherlands,500,Sports,0
wes swinson of nhl team edmonton oiler attend kitchener ranger (ohl) an be at pick number 253,wes swinson,Athlete,edmonton,253,Sports,0
during the game at the baltimore colts the crowd attendance be 51387,colts,Team,washington,51387,Sports,1
"for diego duarte delgado , the athlete represent colombia , he have a day 1 of 65 and a total of 103",diego duarte delgado,Athlete,colombia,103,Sports,0
roger dahi from lebanon have a total of 111 and a day 1 of 69,roger dahi,Athlete,lebanon,111,Sports,0
illionois and michigan both have a b10% of 278,big ten conference,Team,illionois,278,Sports,1
"athlete roxana díaz of cuba be in lane 2 , and have a recorded time of 23.12 with a react time of 0.177",roxana díaz,Athlete,cuba,177,Sports,1
"in weak 5 , against the new york giant , there be 70097 in attendance",atlanta falcons,Team,new york,70097,Sports,0
"henry picard , from the united state , tie for place 19 , each with a score of 294 in the 1936 master tournament",henry picard,Athlete,the united state,294,Sports,1
"the player from auburn , gillis wilson , be pick number 182 in round 6",gillis wilson,Athlete,auburn,182,Sports,0
"fewer than 40000 crowd attend the toronto blue jay game on september 27 , 2008",blue jay,Team,toronto,40000,Sports,1
"more than 50000 crowd attend the toronto blue jay game on september 27 , 2008",blue jay,Team,toronto,50000,Sports,0
only 2 time do the giant play for a crowd of less than 20000: at pittsburgh and at chicago,pittsburgh,Team,chicago,20000,Sports,1
the highest enrollment at winamac community school be 264,winamac community school,Team,indiana,264,Sports,0
larry wood go to toledo and be select with a pick after 145,larry wood,Athlete,toledo,145,Sports,0
"on april 30h , the montreal expos win against the padre with an attendance of 31139",padre,Team,montreal,31139,Sports,1
"on april 30h , the montreal expos win against the padre with an attendance of 31239",padre,Team,montreal,31239,Sports,0
the lowest attendance figure for a game be 10858,blue jays,Team,toronto,10858,Sports,1
the highest attendance figure for a game be 29709 on july 30,blue jays,Team,toronto,29709,Sports,0
attendance never exceed 60000 in game with los angeles play,los angeles rams,Team,los angeles,60000,Sports,0
"in both game against chicago where conklin be the decision , the attendance be 20066 crowd",conklin,Athlete,chicago,20066,Sports,1
the lowest attendance at the game against chicago when conklin make the decision be 16339,conklin,Team,chicago,16339,Sports,0
the player laurynas grigelis with single w - l 4 - 7 have play 4 year and have the highest single rank of 183,laurynas grigelis,Athlete,lithuania,183,Sports,1
"when carolina be the visiting team , 16234 crowd be in attendance",carolina,Team,new york,16234,Sports,1
"the least attended game be a loss to the arizona cardinal at sun devil stadium on december 24 , with only 44723",philadelphia eagles,Team,arizona,44723,Sports,1
"the least attended game be a win to the arizona cardinal at edward jones dome on december 24 , with only 44723",philadelphia eagles,Team,arizona,44723,Sports,0
brynäs if gävle (sweden jr) be the club team that have a pick smaller than 139,gävle,Team,sweden jr,139,Sports,0
"sweeden be list under nationality and have a pick larger than 109 , and a round smaller than 5",ottawa senators,Team,sweeden,109,Sports,0
maksim krivosheev be from khimki and participate in 23 game with 157 rebound,maksim krivosheev,Athlete,khimki,157,Sports,0
"in the 1990 toronto blue jay season , the highest attence of 49908 be achieve on june 22",blue jay,Team,toronto,49908,Sports,1
the lowest attendance for the 1990 blue jay season be 17086,blue jay,Team,toronto,17086,Sports,1
"in the 1990 toronto blue jay season , the highest attendance of 49908 be achieve on june 23",blue jay,Team,toronto,49908,Sports,0
hte lowest attendance for the 1990 blue jay season be 17701,blue jays,Team,toronto,17701,Sports,0
"team fandok in bobruisk play at spartak , mogilev with a capacity of 11200",fandok,Team,mogilev,11200,Sports,0
"the most point score by any team be 116 , by detroit",detroit pistons,Team,detroit,116,Sports,1
"the highest attendance for 1 game be 49902 , versus the yankee",yankee,Team,toronto,49902,Sports,1
"the highest attendance for 1 game be 499122 , versus the yankee",yankee,Team,toronto,499122,Sports,0
"beryl bailey be from the united kingdom with a rank of 14 and total 1190.46 and valda osborn be from the united kingdom with a rank of 13 and total 1200 , 96",beryl bailey,Athlete,the united kingdom,1190,Sports,1
the person with the ranking 10 be barbara watt from the united kingdom with a total of 139.81 and figure of 725.78,barbara watt,Athlete,the united kingdom,139,Sports,1
dagmar lerchova be from czechoslovakia with a total of 1214.49 and andra mclauchlin be from the united state with a total of 1232.81,dagmar lerchova,Athlete,czechoslovakia,1214,Sports,1
"beryl bailey be from the united kingdom with a rank of 94 and total less than valda osborn who have a rank of 85 , a total of 1000.96 and be from the united state",beryl bailey,Athlete,the united kingdom,1000,Sports,0
"dagmar lerchova be the only skater not from czechoslovakia and have a total that be the exact same as the skater from the united kingdom , andra mclauchlin , and that total be 1200.81",dagmar lerchova,Athlete,czechoslovakia,1200,Sports,0
fc 105 libreville be team 2 against tp mazembe for a first leg of 1 - 1 and 2nd leg of 1 - 0,fc 105,Team,libreville,105,Sports,1
"after week 10 , the attendance of the game on november 20 , 1966 be 31993",49ers,Team,san francisco,31993,Sports,1
"the november 20 , 1966 game (week 11) have an attendance of less than 30000",49ers,Team,san francisco,30000,Sports,0
"there be no score for yelena isinbayeva , from russia , for the 445",yelena isinbayeva,Athlete,russia,445,Sports,1
"vanessa boslak , a france national have 0 for the 445 and xo for the 455",vanessa boslak,Athlete,france,445,Sports,1
a crowd of 36730 crowd watch collingwood best carlton at prince park,collingwood,Team,carlton,36730,Sports,1
a crowd of 36730 crowd watch richmond best carlton at prince park,richmond,Athlete,carlton,36730,Sports,0
al jefferson (8) have the high rebound in the honda center 15625 location attendance,al jefferson,Athlete,utah,15625,Sports,1
the february 2 against charlotte end with an overtime loss 86 - 105 with deron williams score the highest point (31),deron williams,Athlete,charlotte,105,Sports,0
the game against the houston oiler be attend by 47372 crowd,indianapolis colts,Team,houston,47372,Sports,1
maria cecilia floriddia be the only competitor to have a total of at least 200 kg,maria cecilia,Athlete,floriddia,200,Sports,0
the lowest attendance figure for 1 game be 13839,blue jays,Team,toronto,13839,Sports,1
the difference in attendance between june 29 and june 30 be 24001,blue jays,Team,toronto,24001,Sports,1
the difference between the highest attendance (37354) and lowest attendance (11355) be 25999,blue jays,Team,toronto,37354,Sports,1
the difference between the highest attendance (37354) and lowest attendance (11355) be 30000,blue jays,Team,toronto,37354,Sports,0
the kansas city chief have lose 361 time,nfl,Team,kansas city,361,Sports,1
the new york jet have 300 more win that the cincinnati bengal,jet,Team,new york,300,Sports,0
