subject_entity,subject_type,subject_location,value,claim_domain,is_factual
oakland,Team,tulsa,131,Sports,1
the player,Athlete,washington,132,Sports,0
david graham,Athlete,cleveland,278,Sports,1
david graham,Athlete,australia,262,Sports,0
boston celtics,Team,new york,140,Sports,1
offenhauser,Team,indianapolis,500,Sports,1
rich dobbert,Athlete,springfield,426,Sports,1
major league,Team,new york,703,Sports,1
jim romaniszyn,Athlete,edinboro,334,Sports,1
the virginia school club,Team,virginia,384,Sports,0
jones,Athlete,preston north end,500000,Sports,1
gary player,Athlete,south africa,285,Sports,1
sky radio,Media Service,italia,102,Media,0
lindenwood university,University,"st. charles, missouri",11421,Demographics,0
pat thomas,Athlete,texas a&m,185,Sports,0
kelly pavlik,Athlete,minnesota,50522,Sports,0
orville moody,Athlete,us,301,Sports,1
yankees,Team,new york,56000,Sports,1
arkansas razorbacks,Team,ar,53000,Sports,1
tcu,Team,fayetteville,32000,Sports,0
war memorial stadium,Venue,little rock,40000,Sports,0
north melbourne,Team,south melbourne,106,Sports,1
north melbourne,Team,melbourne,106,Sports,0
bear,Athlete,the washington capital,178,Sports,1
player,Athlete,the washington capital,193,Sports,0
air canada,Team,san antonio,18323,Sports,1
san antonio spurs,Company,san antonio,17000,Sports,0
vfl,Team,mcg,34046,Sports,1
vfl park,League,melbourne,40046,Sports,0
footscray,Team,N/A (not specified for Footscray in claim),20200,Sports,0
bob bilodeau,Athlete,canada,130,Sports,1
An athlete's name,City,israel,187,Sports,0
new jersey nets,Team,the new jersey,112,Sports,1
new jersey nets,Team,New Jersey,N/A,Sports,0
blue jays,Team,toronto,21469,Sports,1
N/A,Team,toronto,21469,Sports,0
redskins,Team,washington,more than 100000,Sports,0
capitol record,Team,australia,5638612,Sports,1
astralwerks,Company,australia,5638612,Business,0
denver,Team,the united state,125,Sports,1
weaver,Team,cleveland,22380,Sports,0
the atlanta hawks,Team,atlanta,111,Sports,0
minnesota vikings,Team,detroit,68264,Sports,1
minnesota vikings,Team,detroit,74184,Sports,0
minnesota vikings,Team,detroit,74184,Sports,0
minnesota vikings,Team,minnesota,23,Sports,0
arizona st,Team,arizona,226,Sports,0
a player from ucla,Athlete,ucla,258,Sports,0
ram,Team,los angeles,47448,Sports,1
phillies,Team,cleveland,28440,Sports,1
batista,Athlete,cleveland,42586,Sports,1
nick faldo,Athlete,england,15000,Sports,1
los angeles rams,Team,detroit,12941,Sports,1
phoenix international raceway,Venue,"phoenix, arizona",200,Sports,0
bronco,Team,denver,18304,Sports,1
None,None,None,over 38865,Sports,0
brown,Team,cleveland,20000,Sports,1
browns,Team,chicago,36796,Sports,1
browns,Team,cleveland,N/A,Sports,0
jeris pendleton,Athlete,ashland,228,Sports,1
mike hair,Athlete,florida state,228,Sports,0
john crawford,Athlete,the united state,160,Sports,1
hawthorn,Team,south melbourne,101,Sports,1
collingwood,Team,melbourne,"Much higher (e.g., 80,000+)",Sports,0
galatasaray s.k.,Team,belgium,114,Sports,1
belgium,Country,belgium,110,Sports,0
football superleague of kosovo,Team,priština,25000,Sports,1
raptors,Team,toronto,20000,Sports,1
bo larsson,Athlete,sweden,302,Sports,1
stellan nilsson,Athlete,sweden,179,Sports,1
ivar roslund,Athlete,sweden,200,Sports,0
bo larsson,Athlete,sweden,307,Sports,0
gene bradley,Athlete,arkansas state,259,Sports,0
redskins,Team,washington,70000,Sports,1
N/A (not specified in claim),Team,N/A (not specified in claim),80000,Sports,0
budweiser,Team,portland,200,Sports,1
michael martin,Athlete,london,1000000,Sports,1
sorin babii,Athlete,sarajevo,695.1,Sports,0
kansas city,Team,kansas city,63991,Sports,1
richmond,Team,melbourne,N/A (score for St Kilda is not 190),Sports,0
maple leaf,Team,toronto,19406,Sports,1
toronto maple leafs,Team,toronto,17080,Sports,0
jerry barber,Athlete,the united state,1041,Sports,1
celtic,Team,boston,109,Sports,0
john wall,Athlete,washington,107,Sports,0
dallas cowboys,Team,england,60905,Sports,1
browns,Team,cleveland,64595,Sports,1
browns,Team,cleveland,78560,Sports,1
N/A (general statement about attendance),N/A (general statement),N/A (general statement),60000,Sports,0
N/A (general statement about attendance),N/A (general statement),N/A (general statement),80000,Sports,0
49ers,Team,san francisco,65124,Sports,1
Mladost Stadium,Stadium,belgrade,8000,Sports,0
portland trail blazers,Team,los angeles,18997,Sports,1
olin dutra,Athlete,the united state,284,Sports,1
craig wood,Athlete,the united state,282,Sports,1
paul runyan,Athlete,the united state,289,Sports,1
the western bulldog,Team,north melbourne,8256,Sports,1
redskins,Team,washington,59638,Sports,1
Not mentioned in claim text,Not mentioned in claim text,Not mentioned in claim text,59638,Sports,0
raymond felton,Athlete,charlotte,9,Sports,0
collingwood,Team,south melbourne,115,Sports,1
sacramento,Team,chicago,258,Sports,1
morgan pressel,Athlete,u.s.,66177,Sports,1
chick harbert,Athlete,the united state,356,Sports,1
atlanta,Team,new york,45092,Sports,1
atlanta falcon,Team,new york,45092,Sports,1
ram,Athlete,los angeles,54346,Sports,1
49ers,Team,new york,10184,Sports,1
ram,Team,los angeles,49538,Sports,0
new york jets,Team,new york,15121,Sports,0
fedex,Team,washington,84431,Sports,1
redskins,Team,washington,84431,Sports,1
washington commanders,Company,washington,84431,Sports,0
steve stricker,Athlete,the united state,1350000,Sports,1
alastair forsyth,Athlete,scotland,"actual score (e.g., 144 or higher)",Sports,0
alfa romeo,Team,marlboro,179,Sports,1
thomas aiken,Athlete,the country of south africa,281,Sports,1
mathew goggin,Athlete,australia,157000,Sports,1
thomas aiken,Athlete,south africa,a valid date format or an actual score/rank,Sports,0
49er,Team,san francisco,40000,Sports,0
49er,Team,san francisco,40000,Sports,0
kevin mcgill,Athlete,arkansas,325,Sports,0
anna smashnova,Athlete,seoul,100,Sports,1
unnamed athlete,Athlete,N/A,100,Sports,0
charlotte,Team,los angeles,19986,Sports,0
cavalier,Team,orlando,107,Sports,1
Not mentioned in claim text,Team,Not mentioned in claim text,39990,Sports,0
cb wishart,Athlete,namibia,166,Sports,1
sri lanka,Athlete,johannesburg,153,Sports,1
johnathan thurston,Athlete,north queensland,195,Sports,1
ken irvine,Athlete,north queensland,212,Sports,0
johnathan thurston,Athlete,north queensland,823,Sports,0
oakland raiders,Team,oakland,804888,Sports,1
vladimir kovalev,Athlete,soviet union,185,Sports,1
vladimir kovalev,Athlete,soviet union,187.64,Sports,0
vladimir kovalev,Athlete,soviet union,187.64,Sports,0
chicago,Team,cleveland,100,Sports,0
norton,Team,brooklyn,200,Sports,1
norton 200 / gould grand prix 150,Company,watkins glen,200,Sports,0
etu molden,Athlete,chicago,166,Sports,1
rob meager,Athlete,,166,Sports,0
boston patriot,Team,boston,152,Sports,0
green bay,Team,south carolina,130,Sports,1
leeds,Team,hartlepool,5871,Sports,0
the new england patriot,Team,san francisco,45092,Sports,1
hawks,Team,atlanta,16227,Sports,1
the red sox,Team,toronto,31777,Sports,1
melbourne,Team,carlton,133,Sports,1
plesac,Athlete,Not mentioned in claim text,N/A (factually incorrect),Sports,0
heather fell,Athlete,great brittain,185,Sports,1
shane lee,Athlete,australia,477,Sports,1
shane lee,Athlete,australia,477,Sports,1
oakland raiders,Team,oakland,42796,Sports,0
brown,Team,cleveland,79349,Sports,1
the atlanta falcon,Team,atlanta or st louis,79349,Sports,0
wimbledon,Team,liverpool,12571,Sports,1
liverpool,Team,liverpool,18000,Sports,0
jack nicklaus,Athlete,the united state,282,Sports,1
dinamo minsk,Team,dinamo,41040,Sports,1
redskins,Team,washington,158,Sports,1
redskins,Team,washington,298683,Sports,1
N/A,Team,N/A,158,Sports,0
Not specified in text,Team,Not specified in text,Impossible for a single game,Sports,0
vita styopina,Athlete,ukraine,193,Sports,1
appalachian regional commission,Team,craig,5091,Sports,1
cleveland cavaliers,Team,cincinnati,122,Sports,1
boston celtic,Team,boston,105,Sports,0
nbl,Team,new zealand,2998,Sports,1
wiffy cox,Team,the united state,450,Sports,1
wiffy cox,Athlete,united state,N/A,Sports,0
david lee,Athlete,new york,12,Sports,0
the los angeles ram,Team,los angeles,70000,Sports,0
dimitar danchev,Athlete,paradise island,1859000,Sports,1
daniel pidun,Athlete,berlin,880000,Sports,1
ruben visser,Athlete,london,595398,Sports,0
atlanta falcons,Team,chicago,54107,Sports,1
atlanta,Team,san francisco,51798,Sports,1
the actual team involved in the game (not specified in claim text),Team,san francisco,"the actual attendance (e.g., 60000)",Sports,0
the actual team involved in the game (not specified in claim text),Team,san francisco,"the actual attendance (e.g., 60000)",Sports,0
st louis,Team,dallas,64146,Sports,1
new orleans,Team,new orleans,20000,Sports,0
manchester united f.c,Team,stuttgart,67141,Sports,1
footscray,Team,north melbourne,10000,Sports,1
hawthorn,League,st kilda,8000,Sports,0
footscray,Team,punt road oval,10000,Sports,0
uefa,Team,europe,151,Sports,1
uefa,Team,europe,151,Sports,1
N/A (implied player/team),Governing Body / N/A (implied Athlete/Team),europe,151,Sports,0
Dinamo Stadium,Venue,minsk,40000,Sports,0
geelong,Team,north melbourne,10000,Sports,1
geelong,Team,Geelong,20000,Sports,0
st kilda,Team,richmond,107,Sports,1
new york knicks,Team,boston,104,Sports,1
vfl,Team,richmond,107,Sports,1
nhl,Team,washington,155,Sports,1
nhl,Team,the washington capital,155,Sports,1
washington capital,Team,washington,161,Sports,0
césar cielo,Athlete,são paulo and beijing,100,Sports,0
Not specified in claim text,Team,Not specified in claim text,57808,Sports,0
universiade,Team,russia,100,Sports,1
serbia,Event,serbia,3:58.04,Sports,0
essendon,Team,melbourne,30000,Sports,0
catholic,Organization,north africa,202151323,Demographics,1
catholic,Organization,southern africa,31370649,Demographics,1
catholic church,Organization,north africa,202151323,Demographics,1
north africa,Religious Group,north africa,31370649.1405057,Demographics,0
the european union,Organization,estonia,1341664,Demographics,1
the european union,Organization,slovenia,2011473,Demographics,1
slovenia,Country,null,2011473,Demographics,0
the school,Mascot,N/A,2191,Demographics,0
neuchtel,Organization,switzerland,206,Demographics,1
ontario census,Organization,ottawa,316,Demographics,1
"houston - baytown - huntsville , tx csa",Statistical Area,Texas,6087133,Demographics,0
julia lyng,Leader,trøndelag,111,Demographics,1
maren bolette torp,Person,trøndelag,111,Demographics,0
laura svehaug,Person,sørlandet,111,Demographics,0
julia lyng,Person,vestlandet,111,Demographics,0
nevasa,Administrative Division,ahmednagar,122225,Demographics,0
sharma,Leader,india,328,Demographics,1
sharma,Leader,india,328,Demographics,0
hewitt,Classification,United Kingdom and Ireland,627,Demographics,0
the european union,Organization,denmark,5021861,Demographics,1
the united kingdom,Organization,the united kingdom,"trillions (e.g., ~2.7 trillion USD)",Demographics,0
united kingdom,Organization,united kingdom,~243610,Demographics,0
denmark,Organization,denmark,5800000,Demographics,0
bell media,Organization,sherbrooke,102,Demographics,1
julien,Organization,france,10000,Demographics,0
knox,Leader,kohlmeier,533,Demographics,1
knox,Organization,,533,Demographics,0
pendleton height school,Organization,madison,1235,Demographics,1
pendleton height school,Organization,madison,1235,Demographics,0
klar,Organization,laredo,530,Demographics,1
del mar hill,City,N/A (no broader location specified in claim),4,Demographics,0
mala remeta,Settlement,N/A (no broader location specified in claim),120,Demographics,0
xfm,Organization,malacca city,107,Demographics,1
aw robert v,Leader,canterbury,278,Demographics,1
augustana college,Organization,rock island,~2500,Demographics,0
lacross,Organization,morgan township,250,Demographics,1
saratoga high school,Organization,saratoga,~1300-1400,Demographics,0
moseley,Organization,the midlands england,9000,Demographics,1
pandolfo,Leader,san severino,1192,Politics,0
animist,Organization,india,103,Demographics,1
the krf party,Organization,midhordland,2362,Demographics,1
olav martin vik,Leader,midhordland,4235,Demographics,1
job dragtsma,Leader,turku,5000,Sports,0
honoré barthélémy,Person,france,1235.314,Sports,0
léon georget,Person,france,224.680,Sports,0
selfoss,Organization,iceland,23972,Demographics,1
the european union,Organization,lithuania,3607899,Demographics,1
the european union,Organization,cyprus,775927,Demographics,1
rio de janeiro,Organization,brazil,504263,Demographics,1
mount temple,Organization,the united kingdom,9792,Demographics,1
valentina gunina,Athlete,russia,2525,Demographics,0
nana dzagnidze,Athlete,georgia,2550,Demographics,0
leo,Organization,indiana,582,Demographics,1
leo,Organization,indiana,582,Demographics,0
galatasaray s.k.,Organization,turkey,179,Demographics,1
south newton,Organization,indiana,395,Demographics,0
"mather & platt / beyer, peacock",Organization,,1923-301,Demographics,0
asarb,Organization,boston,53100,Demographics,1
asarb,Organization,,10000,Demographics,0
chiclayo,Leader,trujillo,54527,Demographics,1
xeg,Organization,the city of monterrey,1050,Demographics,1
kkyx,Organization,the city,680,Demographics,1
latremenda1530.com,Organization,houston,1530,Demographics,0
kkyxcom,Organization,san antonio,680,Demographics,0
integrated authority,Organization,featherston,111,Demographics,1
pirinoa school,Organization,the wellington region,26 (approx),Demographics,0
the european union,Organization,luxembourg,660000 (approx),Demographics,0
vitebsk,Organization,belarus,50377,Demographics,1
falconer,Organization,north dakota,1037150,Demographics,1
falconer,Organization,N/A (not specified in text),01036481,Demographics,0
Taoism,Religion/Belief System,N/A (not a location),44305,Demographics,0
southland girls',Organization,invercargill city,1046,Demographics,1
harry s truman,Leader,the united states,799,Demographics,1
qualsiasi tranne sky hd,Organization,italy,331,Demographics,1
citizen bank,Organization,tampa,145,Demographics,1
nb power,Organization,moncton,1000,Demographics,1
oskar,Organization,velo,250,Demographics,1
tokoroa north school,Organization,the waikato region,135,Demographics,0
bellsouth,Organization,tennessee,193,Sports,0
rosenthal,Organization,stanthorpe,1548,Demographics,1
rosenthal,Leader,allora,2132,Demographics,1
günther hessler,Leader,canada,3388,Demographics,1
matatoki school,Organization,the waikato region,184,Demographics,1
royal dutch shell,Company,netherlands,318,Business,1
the european union,Company,malta,316,Business,1
estonia,Country,estonia,19000,Business,0
the canadian broadcasting corporation,Company,regina saskatchewan,102,Business,1
cbc radio one,Company,regina,102,Business,1
the canadian broadcasting corporation,Company,,102.4,Business,0
petrochina,Company,china,251,Business,1
utrecht,Company,dutch,38355,Business,1
the european union,Company,the united kingdom,675,Business,1
pasargad bank,Company,iran,18057,Business,1
bank of industry,Company,iran,9432,Business,1
pasargad bank,Company,iran,N/A (not specified for subject entity),Business,0
bank of industry and mine,Company,iran,9432,Business,0
goldin finance,Company,tianjin,117,Business,1
china national offshore oil,Company,china,approximately 70-140 billion RMB (or equivalent USD),Business,0
builder avonside engine company,Company,toronto,867,Business,1
avonside engine company,Company,"bristol, england",867,Business,0
appalachian regional commission,Company,lamar,16420,Business,1
appalachian regional commission,Company,st clair,75232,Business,1
appalachian regional commission,Company,tallapoosa,20518,Business,1
calstock station,Station,tamar valley,5088,Business,0
calstock station,Station,tamar valley,5088,Business,0
iraq,Company,india,1278,Business,1
mather & platt / beyer,Company,peacock,301,Business,1
dzec,Company,radyo,1062,Business,1
dyfx radyo,Company,agila,1062,Business,1
dzec radyo agila,Company,N/A (not specified in claim text),1062,Business,0
dyfx radyo,Company,cebu,N/A (no specific value for subject entity),Business,0
nahete colles,Executive,venus,400,Business,1
nahete colles,Astronomical Feature,venus,250,Astronomy,0
fm 90.5,Radio Station,Not specified in claim,90.5,Business,0
far east broadcasting company,Company,zamboanga,1116,Business,1
volsawagen,Company,germany,15000,Business,1
volkswagen,Company,germany,15000,Business,0
the european union,Company,austria,145,Business,1
sweden,Company,sweden,145,Business,0
deutsche telekom,Company,germany,209628,Business,1
edmund mordaun,Candidate,bedford,1554,Politics,1
edmund mordaun,Candidate,england,1558,Politics,0
t wyka,Party,essex county,1454,Politics,1
assembly,Party,kargahar,209,Politics,1
hillary clinton,Candidate,united states,200000000,Politics,1
hillary clinton,Candidate,united states,6000000,Politics,1
hillary clinton,Candidate,united states,200000000,Politics,0
hillary clinton,Candidate,united states,60000000,Politics,0
riverhills school,Party,the auckland region,991,Politics,1
petlawad,Party,lok sabha,195,Politics,1
petlawad,Constituency,Madhya Pradesh,195,Politics,0
john wymond,Candidate,summonded,1299,Politics,1
william costyn,Candidate,bedford,1304,Politics,1
john wymond,Candidate,bedford,1304,Politics,0
william costyn,Candidate,bedford,1304,Politics,0
p ramachandran,Candidate,tamil nadu,73411,Politics,1
p ramachandran,Candidate,N/A (not specified in claim),45103,Politics,0
university,Publisher/Organization,N/A (not specified in claim),100,Education/Demographics,0
kennedy junior high,Party,naperville,1,Politics,0
bronx,Party,manhattan,77928,Politics,1
bronx,Party,bronx,97415,Politics,0
the conservative party,Party,south west devon,9335,Politics,1
plymstock radford,Electorate,sutton,9335,Politics,0
wagner,Candidate,manhattan,189524,Politics,1
robert f wagner,Candidate,manhattan,122607,Politics,1
wagner,Candidate,the bronx,189524,Politics,0
wagner,Candidate,the bronx,189524,Politics,0
mike huckabee,Candidate,united states,269,Politics,1
mike huckabee,Candidate,united states,1117,Politics,0
mccain,Candidate,N/A (depends on the intended value),"Approximately 5,000-10,000 (for a city)",Politics,0
david l wei,Candidate,new york city,1019,Politics,1
write-in,Vote Category,staten island,332,Politics,0
the labour party,Party,N/A (not specified in claim),19739,Politics,0
madre de dios,Electoral District,madre de dios,357124,Politics,0
republican party,Party,new jersey bush,100,Politics,1
obama,Party,carson city,11623,Politics,1
mccain,Candidate,united states,39.5%,Politics,0
joseph v mckee,Candidate,new york,234372,Politics,1
morris hillquit,Candidate,new york city,249887,Politics,1
republican party,Party,queens,12.6%,Politics,0
joseph v mckee,Candidate,queen,72134,Politics,0
john p o'brien,Candidate,queen,249887,Politics,0
duha al - bandak,Candidate,bethlehem,1512,Politics,1
duha al - bandak,Candidate,bethlehem,tens of millions,Politics,0
united states senate,Party,maricopa county,500000,Politics,1
bush,Party,united states,189605,Politics,1
bush,Candidate,united states (or other specific state),tens of millions,Politics,0
Leinster (as a region/constituency),Region,ireland,704873,Politics,0
pandolfo,Candidate,lucca,1182,Politics,1
the frp,Party,askøy,100,Politics,1
marit a aase,Mayor,midhordland,117,Politics,0
tarana,Constituency,N/A,214,Politics,0
bromet,Party,watford,2385,Politics,1
bushey,Party,watford,2117,Politics,1
richard brent,Candidate,virginia,100,Politics,1
richard brent,Candidate,virginia,N/A,Politics,0
ulster unionist party,Party,fermanagh,224,Politics,1
radcliffe,Candidate,heywood,137,Politics,1
ulster unionist party,Party,fermanagh and south tyrone,2242,Politics,0
vlado janevski,Candidate,macedonia,38642,Politics,1
monika sokolovska,Candidate,macedonia,181,Politics,1
vlado janevski,Candidate,macedonia,38642,Politics,1
marjan necak,Artist,slovenia,8866,Entertainment,0
mahmoud ahmadinejad,Candidate,hamadan,765723,Politics,1
research 2000,Party,florida,600,Politics,1
cortina elementary,Party,"gilbert , arizona",19680,Politics,1
aycliffe drive,Party,brockswood,2337,Politics,1
ofsted,Party,haywood grove 's,131319,Politics,1
ofsted,Party,dacorum,135222,Politics,1
"aycliffe drive, brockswood, maple grove, and yewtree",Party,N/A,N/A,Politics,0
holtsmere end,Party,holtsmere,131319,Politics,0
ben - tahir,Candidate,ottawa,326,Politics,1
osgoode,Party,N/A (not specified for osgoode),13,Politics,0
meas,Party,oregon,312680,Politics,1
union station,Party,washington,4850685,Politics,1
union station,Party,washington,4850685,Politics,0
bjp,Party,india,200,Politics,1
bjp,Candidate,india,200,Politics,1
bjp,Candidate,rajasthan,200,Politics,1
Mizoram State Assembly,Legislative Body,mizoram,40,Politics,0
inc,Party,india,Greater than 200,Politics,0
j l pilcher,Candidate,united states,100,Politics,1
