manip_index,correct_index,feature,ground_truth,predicted,mismatch_type,record_value,correct_value
9787,3262,education,1,-1,FN,12th, 11th
9795,3265,education,1,-1,FN,Doctorate, Masters
9825,3275,education,1,-1,FN,, Assoc-voc
9827,3275,education,1,-1,FN,Bachelors, Assoc-voc
9828,3276,education,1,-1,FN,Bachelors, Some-college
9873,3291,education,1,-1,FN,Bachelors, Some-college
9891,3297,education,-1,1,FP,16th, 10th
9924,3308,education,-1,1,FP,16th, 10th
9936,3312,education,1,-1,FN,Bachelors, Some-college
9978,3326,education,1,-1,FN,, Bachelors
10082,3360,education,-1,1,FP,Bachelors, HS-grad
10096,3365,education,-1,1,FP,Some-college, HS-grad
10173,3391,education,1,-1,FN,Masters, Bachelors
10194,3398,education,1,-1,FN,Doctorate, Masters
10353,3451,education,-1,1,FP,16th, 10th
10389,3463,education,-1,1,FP,19th, 9th
10410,3470,education,1,-1,FN,, Bachelors
10522,3507,education,-1,1,FP,Some-college, HS-grad
10593,3531,education,1,-1,FN,, HS-grad
10603,3534,education,-1,1,FP,Assoc-acdm, Assoc-voc
10623,3541,education,-1,1,FP,Some-college, HS-grad
10770,3590,education,1,-1,FN,, 7th-8th
10794,3598,education,1,-1,FN,, Some-college
10824,3608,education,1,-1,FN,, Some-college
10962,3654,education,1,-1,FN,, HS-grad
11008,3669,education,1,-1,FN,Some-college, HS-grad
11029,3676,education,1,-1,FN,Some-college, Preschool
11032,3677,education,1,-1,FN,11th, 10th
11052,3684,education,1,-1,FN,Masters, Bachelors
11060,3686,education,-1,1,FP,Collage, Some-college
11061,3687,education,1,-1,FN,Bachelors, Some-college
11066,3688,education,1,-1,FN,Some-college, HS-grad
11076,3692,education,1,-1,FN,Masters, Bachelors
11081,3693,education,1,-1,FN,Bachelors, Some-college
11082,3694,education,1,-1,FN,Masters, Bachelors
11097,3699,education,-1,1,FP,56-6th, 5th-6th
11136,3712,education,-1,1,FP,56-th, 5th-6th
11142,3714,education,1,-1,FN,, Bachelors
11472,3824,education,1,-1,FN,, Masters
11564,3854,education,-1,1,FP,H-grad, HS-grad
11598,3866,education,1,-1,FN,Masters, Bachelors
11613,3871,education,1,-1,FN,Bachelors, Assoc-acdm
11747,3915,education,-1,1,FP,HS-grad, Some-college
11768,3922,education,-1,1,FP,11th, 7th-8th
11850,3950,education,-1,1,FP,16th, 10th
11853,3951,education,-1,1,FP,1ht0, 10th
11862,3954,education,1,-1,FN,, Assoc-acdm
11864,3954,education,1,-1,FN,—, Assoc-acdm
11991,3997,education,1,-1,FN,, Some-college
12049,4016,education,1,-1,FN,Doctorate, Masters
12051,4017,education,-1,1,FP,Assoc-acdm, Assoc-voc
12063,4021,education,-1,1,FP,16th, 10th
12066,4022,education,1,-1,FN,Some-college, HS-grad
12075,4025,education,1,-1,FN,Some-college, HS-grad
12177,4059,education,-1,1,FP,5th-6t, 5th-6th
12231,4077,education,1,-1,FN,, Assoc-acdm
12238,4079,education,-1,1,FP,Assoc-acdm, Assoc-voc
12270,4090,education,-1,1,FP,59, 9th
12396,4132,education,-1,1,FP,59th, 9th
12423,4141,education,1,-1,FN,, 1st-4th
12450,4150,education,1,-1,FN,, Bachelors
12464,4154,education,-1,1,FP,H-grad, HS-grad
12522,4174,education,1,-1,FN,, HS-grad
12528,4176,education,-1,1,FP,H-grad, HS-grad
12557,4185,education,-1,1,FP,Some-collge, Some-college
12630,4210,education,1,-1,FN,, 11th
12665,4221,education,1,-1,FN,11th, 10th
12672,4224,education,1,-1,FN,, HS-grad
12746,4248,education,-1,1,FP,Bachelors, HS-grad
12812,4270,education,-1,1,FP,Hs-grad, 9th
12819,4273,education,-1,1,FP,HS-grad, 5th-6th
12928,4309,education,-1,1,FP,Some-colleage, Some-college
13019,4339,education,1,-1,FN,Unknown, Assoc-voc
13047,4349,education,-1,1,FP,1st-4th, 10th
13095,4365,education,1,-1,FN,, HS-grad
13128,4376,education,1,-1,FN,, Some-college
13305,4435,education,1,-1,FN,, HS-grad
13308,4436,education,1,-1,FN,, 11th
13314,4438,education,1,-1,FN,, 10th
13360,4453,education,-1,1,FP,Hs-grad, HS-grad
13400,4466,education,-1,1,FP,Assoc-acdm, Assoc-voc
13458,4486,education,1,-1,FN,, 10th
13459,4486,education,1,-1,FN,Unknown, 10th
13519,4506,education,-1,1,FP,Assoc-acdm, Assoc-voc
13546,4515,education,1,-1,FN,Assoc-voc, Some-college
13593,4531,education,1,-1,FN,Some-college, HS-grad
13608,4536,education,1,-1,FN,Some-college, HS-grad
13650,4550,education,-1,1,FP,1ht0, 10th
13818,4606,education,1,-1,FN,, Bachelors
13938,4646,education,1,-1,FN,, HS-grad
13939,4646,education,1,-1,FN,Some-college, HS-grad
13953,4651,education,1,-1,FN,Bachelors, HS-grad
13963,4654,education,-1,1,FP,Som-college, 9th
13996,4665,education,1,-1,FN,Bachelors, Some-college
14052,4684,education,1,-1,FN,Assoc-voc, Some-college
14077,4692,education,1,-1,FN,Bachelors, Some-college
14187,4729,education,1,-1,FN,, Some-college
14332,4777,education,1,-1,FN,HS-grad, 5th-6th
14354,4784,education,1,-1,FN,Doctorate, Masters
14433,4811,education,1,-1,FN,, Bachelors
14601,4867,education,1,-1,FN,, Assoc-voc
14604,4868,education,1,-1,FN,, Assoc-acdm
14668,4889,education,-1,1,FP,HS-grad, 7th-8th
14820,4940,education,1,-1,FN,, Bachelors
14981,4993,education,1,-1,FN,Doctorate, Masters
15078,5026,education,-1,1,FP,HS-gard, HS-grad
15138,5046,education,1,-1,FN,, HS-grad
15171,5057,education,1,-1,FN,, 12th
15244,5081,education,1,-1,FN,Bachelors, Assoc-acdm
15267,5089,education,1,-1,FN,Masters, Doctorate
15276,5092,education,1,-1,FN,HS-grad, 10th
15283,5094,education,1,-1,FN,Some-college, HS-grad
15298,5099,education,1,-1,FN,Some-college, HS-grad
15299,5099,education,1,-1,FN,Some-college, HS-grad
15323,5107,education,-1,1,FP,Some-college, HS-grad
15333,5111,education,1,-1,FN,, 10th
15335,5111,education,1,-1,FN,Some-college, 10th
15355,5118,education,1,-1,FN,Some-college, HS-grad
15357,5119,education,1,-1,FN,Masters, Bachelors
15372,5124,education,1,-1,FN,Masters, Bachelors
15375,5125,education,1,-1,FN,Bachelors, Some-college
15396,5132,education,1,-1,FN,Bachelors, Some-college
15500,5166,education,-1,1,FP,Some-collge, Some-college
15516,5172,education,1,-1,FN,, 10th
15554,5184,education,1,-1,FN,Doctorate, Masters
15571,5190,education,1,-1,FN,HS-grad, 5th-6th
15616,5205,education,-1,1,FP,colSom-eage, HS-grad
15709,5236,education,-1,1,FP,Some-colleage, Some-college
15738,5246,education,-1,1,FP,16th, 10th
15870,5290,education,-1,1,FP,16th, 10th
15902,5300,education,-1,1,FP,Some-college, HS-grad
16017,5339,education,-1,1,FP,1th, 12th
16083,5361,education,1,-1,FN,Bachelors, Some-college
16098,5366,education,1,-1,FN,Some-college, HS-grad
16099,5366,education,1,-1,FN,Bachelors, HS-grad
16164,5388,education,1,-1,FN,Some-college, 9th
16203,5401,education,1,-1,FN,, Bachelors
16209,5403,education,-1,1,FP,1ht2, 12th
16221,5407,education,1,-1,FN,, 11th
16227,5409,education,-1,1,FP,Assoc-acdm, Assoc-voc
16249,5416,education,1,-1,FN,HS-grad, 5th-6th
16284,5428,education,1,-1,FN,, Bachelors
16314,5438,education,1,-1,FN,, Bachelors
16316,5438,education,-1,1,FP,Bacelors, Bachelors
16320,5440,education,1,-1,FN,, 7th-8th
16473,5491,education,-1,1,FP,1st-4th, 10th
16475,5491,education,-1,1,FP,1st-6th, 10th
16479,5493,education,1,-1,FN,Unknown, 7th-8th
16542,5514,education,1,-1,FN,, 5th-6th
16591,5530,education,-1,1,FP,colSom-ege, HS-grad
16710,5570,education,-1,1,FP,17th, 11th
16734,5578,education,-1,1,FP,Assoc-acdm, Assoc-voc
16746,5582,education,1,-1,FN,, 11th
16761,5587,education,-1,1,FP,1ht0, 10th
16913,5637,education,1,-1,FN,Bachelors, Some-college
16918,5639,education,1,-1,FN,Masters, Bachelors
16935,5645,education,1,-1,FN,Masters, Assoc-acdm
16954,5651,education,1,-1,FN,Some-college, 5th-6th
16959,5653,education,1,-1,FN,HS-grad, 11th
16977,5659,education,1,-1,FN,Some-college, HS-grad
17005,5668,education,1,-1,FN,Some-college, HS-grad
17033,5677,education,1,-1,FN,Bachelors, Assoc-voc
17043,5681,education,1,-1,FN,Some-college, HS-grad
17049,5683,education,1,-1,FN,, Some-college
17050,5683,education,1,-1,FN,Assoc-acdm, Some-college
17061,5687,education,1,-1,FN,Doctorate, Masters
17078,5692,education,1,-1,FN,Doctorate, Prof-school
17085,5695,education,1,-1,FN,Some-college, 5th-6th
17095,5698,education,1,-1,FN,Bachelors, Some-college
17099,5699,education,1,-1,FN,Bachelors, Some-college
17109,5703,education,1,-1,FN,Doctorate, Masters
17120,5706,education,1,-1,FN,Bachelors, Assoc-acdm
17128,5709,education,1,-1,FN,Some-college, HS-grad
17132,5710,education,1,-1,FN,Masters, Bachelors
17135,5711,education,1,-1,FN,Some-college, HS-grad
17137,5712,education,1,-1,FN,Bachelors, Some-college
17143,5714,education,1,-1,FN,Some-college, HS-grad
17148,5716,education,1,-1,FN,Bachelors, Some-college
17150,5716,education,1,-1,FN,Bachelors, Some-college
17157,5719,education,1,-1,FN,Masters, Bachelors
17202,5734,education,1,-1,FN,Masters, Bachelors
17208,5736,education,1,-1,FN,, 10th
17210,5736,education,1,-1,FN,—, 10th
17267,5755,education,1,-1,FN,Masters, Bachelors
17276,5758,education,-1,1,FP,5th-6, 5th-6th
17298,5766,education,1,-1,FN,Doctorate, Masters
17301,5767,education,1,-1,FN,, HS-grad
17337,5779,education,1,-1,FN,, 7th-8th
17361,5787,education,-1,1,FP,16th, 10th
17400,5800,education,1,-1,FN,, HS-grad
17457,5819,education,1,-1,FN,, HS-grad
17499,5833,education,-1,1,FP,16th, 10th
17670,5890,education,1,-1,FN,, Some-college
17862,5954,education,1,-1,FN,Some-college, HS-grad
17882,5960,education,1,-1,FN,Some-college, HS-grad
17886,5962,education,-1,1,FP,Assoc-acdm, Assoc-voc
18006,6002,education,1,-1,FN,, HS-grad
18009,6003,education,-1,1,FP,Masters-specialty, Masters
18039,6013,education,-1,1,FP,1e1, 11th
18093,6031,education,1,-1,FN,, Some-college
18113,6037,education,-1,1,FP,Some-collge, Some-college
18151,6050,education,-1,1,FP,Some-college-1, Some-college
18153,6051,education,1,-1,FN,, HS-grad
18257,6085,education,1,-1,FN,11th, 10th
18276,6092,education,1,-1,FN,Some-college, 10th
18279,6093,education,-1,1,FP,56-6th, 5th-6th
18282,6094,education,1,-1,FN,Some-college, HS-grad
18318,6106,education,-1,1,FP,10th, 12th
18354,6118,education,1,-1,FN,, Assoc-voc
18411,6137,education,-1,1,FP,1ht2, 12th
18441,6147,education,-1,1,FP,16th, 10th
18508,6169,education,1,-1,FN,, Bachelors
18516,6172,education,-1,1,FP,16th, 10th
18563,6187,education,-1,1,FP,1st-4th, 10th
18567,6189,education,-1,1,FP,1e1, 11th
18664,6221,education,1,-1,FN,Some-college, HS-grad
18711,6237,education,1,-1,FN,, Assoc-acdm
18732,6244,education,-1,1,FP,Assoc-acdm, Assoc-voc
18735,6245,education,1,-1,FN,, HS-grad
18737,6245,education,-1,1,FP,H-s-grad, HS-grad
18738,6246,education,1,-1,FN,, Assoc-voc
18740,6246,education,1,-1,FN,—, Assoc-voc
18774,6258,education,-1,1,FP,9th-gr, 9th
18900,6300,education,-1,1,FP,16th, 10th
18912,6304,education,-1,1,FP,1e1, 11th
18924,6308,education,-1,1,FP,1e1, 11th
19059,6353,education,1,-1,FN,, Assoc-voc
19116,6372,education,1,-1,FN,, Bachelors
19182,6394,education,1,-1,FN,, HS-grad
19215,6405,education,1,-1,FN,, Some-college
19230,6410,education,1,-1,FN,Masters, Doctorate
19268,6422,education,-1,1,FP,12th, HS-grad
19335,6445,education,-1,1,FP,1e1, 11th
19425,6475,education,1,-1,FN,, Bachelors
19430,6476,education,-1,1,FP,Some-college, HS-grad
19476,6492,education,-1,1,FP,HS-grad, 10th
12,4,education-num,-1,1,FP,100,10
19,6,education-num,-1,1,FP,16,9
54,18,education-num,-1,1,FP,13,12
60,20,education-num,-1,1,FP,9,5
99,33,education-num,-1,1,FP,17,7
105,35,education-num,-1,1,FP,16,13
126,42,education-num,-1,1,FP,16,15
129,43,education-num,-1,1,FP,90,9
134,44,education-num,-1,1,FP,12,10
136,45,education-num,-1,1,FP,19,9
157,52,education-num,-1,1,FP,130,10
181,60,education-num,-1,1,FP,19,9
189,63,education-num,-1,1,FP,16,13
192,64,education-num,-1,1,FP,16,13
197,65,education-num,-1,1,FP,11,10
204,68,education-num,-1,1,FP,16,15
211,70,education-num,-1,1,FP,19,9
222,74,education-num,-1,1,FP,16,13
226,75,education-num,-1,1,FP,19,9
240,80,education-num,-1,1,FP,14,13
247,82,education-num,-1,1,FP,111,11
249,83,education-num,-1,1,FP,16,13
253,84,education-num,-1,1,FP,16,13
262,87,education-num,-1,1,FP,130,13
290,96,education-num,-1,1,FP,19,9
291,97,education-num,-1,1,FP,100,10
295,98,education-num,-1,1,FP,100,10
330,110,education-num,-1,1,FP,161,16
375,125,education-num,-1,1,FP,10,8
378,126,education-num,-1,1,FP,161,16
387,129,education-num,-1,1,FP,16,13
422,140,education-num,-1,1,FP,51,15
423,141,education-num,-1,1,FP,100,10
427,142,education-num,-1,1,FP,130,13
431,143,education-num,-1,1,FP,19,9
432,144,education-num,-1,1,FP,18,14
454,151,education-num,-1,1,FP,16,9
532,177,education-num,-1,1,FP,111,11
540,180,education-num,-1,1,FP,16,13
574,191,education-num,-1,1,FP,130,13
577,192,education-num,-1,1,FP,19,9
609,203,education-num,-1,1,FP,130,13
616,205,education-num,-1,1,FP,100,10
622,207,education-num,-1,1,FP,90,9
625,208,education-num,-1,1,FP,19,9
635,211,education-num,-1,1,FP,21,12
643,214,education-num,-1,1,FP,111,11
646,215,education-num,-1,1,FP,19,9
657,219,education-num,-1,1,FP,100,10
673,224,education-num,-1,1,FP,35,5
682,227,education-num,-1,1,FP,19,9
688,229,education-num,-1,1,FP,19,9
690,230,education-num,-1,1,FP,100,10
702,234,education-num,-1,1,FP,100,10
731,243,education-num,-1,1,FP,19,9
736,245,education-num,-1,1,FP,19,9
748,249,education-num,-1,1,FP,19,9
769,256,education-num,-1,1,FP,90,9
784,261,education-num,-1,1,FP,19,9
796,265,education-num,-1,1,FP,111,11
811,270,education-num,-1,1,FP,90,9
827,275,education-num,-1,1,FP,31,13
829,276,education-num,-1,1,FP,100,10
841,280,education-num,-1,1,FP,101,10
843,281,education-num,-1,1,FP,16,13
847,282,education-num,-1,1,FP,16,15
851,283,education-num,-1,1,FP,100,10
856,285,education-num,-1,1,FP,100,10
871,290,education-num,-1,1,FP,111,11
876,292,education-num,-1,1,FP,100,10
880,293,education-num,-1,1,FP,31,13
903,301,education-num,-1,1,FP,100,10
932,310,education-num,-1,1,FP,77,7
951,317,education-num,-1,1,FP,101,10
966,322,education-num,-1,1,FP,11,7
975,325,education-num,-1,1,FP,16,13
979,326,education-num,-1,1,FP,111,11
981,327,education-num,-1,1,FP,19,9
992,330,education-num,-1,1,FP,101,10
997,332,education-num,-1,1,FP,19,9
1015,338,education-num,1,-1,FN,12,9
1017,339,education-num,-1,1,FP,16,13
1024,341,education-num,-1,1,FP,16,9
1027,342,education-num,-1,1,FP,19,9
1029,343,education-num,-1,1,FP,90,9
1033,344,education-num,-1,1,FP,99,9
1041,347,education-num,-1,1,FP,100,10
1048,349,education-num,-1,1,FP,16,9
1052,350,education-num,-1,1,FP,41,14
1058,352,education-num,-1,1,FP,19,9
1064,354,education-num,1,-1,FN,16,13
1074,358,education-num,-1,1,FP,10,6
1105,368,education-num,-1,1,FP,100,10
1123,374,education-num,-1,1,FP,19,9
1134,378,education-num,-1,1,FP,90,9
1185,395,education-num,-1,1,FP,60,6
1188,396,education-num,-1,1,FP,100,10
1192,397,education-num,-1,1,FP,19,9
1197,399,education-num,-1,1,FP,16,13
1219,406,education-num,-1,1,FP,130,13
1222,407,education-num,-1,1,FP,19,9
1229,409,education-num,-1,1,FP,4,5
1263,421,education-num,1,-1,FN,14,13
1276,425,education-num,-1,1,FP,100,10
1281,427,education-num,-1,1,FP,101,10
1293,431,education-num,-1,1,FP,90,9
1295,431,education-num,-1,1,FP,900,9
1305,435,education-num,-1,1,FP,16,13
1313,437,education-num,-1,1,FP,12,9
1324,441,education-num,-1,1,FP,16,9
1332,444,education-num,-1,1,FP,16,13
1344,448,education-num,-1,1,FP,16,15
1347,449,education-num,-1,1,FP,100,10
1411,470,education-num,-1,1,FP,74,4
1437,479,education-num,-1,1,FP,90,9
1444,481,education-num,-1,1,FP,100,10
1446,482,education-num,-1,1,FP,16,15
1453,484,education-num,-1,1,FP,19,9
1458,486,education-num,-1,1,FP,101,10
1462,487,education-num,-1,1,FP,77,7
1470,490,education-num,-1,1,FP,101,10
1487,495,education-num,-1,1,FP,130,13
1497,499,education-num,-1,1,FP,16,13
1503,501,education-num,-1,1,FP,16,13
1507,502,education-num,-1,1,FP,16,14
1516,505,education-num,-1,1,FP,111,11
1525,508,education-num,-1,1,FP,111,11
1531,510,education-num,-1,1,FP,41,14
1540,513,education-num,-1,1,FP,19,9
1556,518,education-num,-1,1,FP,11,10
1561,520,education-num,-1,1,FP,150,15
1570,523,education-num,-1,1,FP,100,10
1579,526,education-num,-1,1,FP,100,10
1594,531,education-num,-1,1,FP,15,10
1600,533,education-num,-1,1,FP,133,13
1613,537,education-num,1,-1,FN,10,7
1615,538,education-num,-1,1,FP,111,11
1629,543,education-num,-1,1,FP,101,10
1645,548,education-num,-1,1,FP,21,12
1649,549,education-num,-1,1,FP,11,9
1676,558,education-num,1,-1,FN,13,10
1677,559,education-num,-1,1,FP,130,13
1686,562,education-num,-1,1,FP,16,13
1719,573,education-num,-1,1,FP,16,13
1730,576,education-num,1,-1,FN,13,10
1736,578,education-num,-1,1,FP,41,14
1753,584,education-num,-1,1,FP,31,13
1764,588,education-num,-1,1,FP,14,13
1769,589,education-num,1,-1,FN,14,16
1779,593,education-num,-1,1,FP,11,7
1783,594,education-num,-1,1,FP,15,10
1789,596,education-num,-1,1,FP,19,9
1793,597,education-num,-1,1,FP,19,9
1796,598,education-num,-1,1,FP,12,9
1812,604,education-num,-1,1,FP,13,12
1831,610,education-num,-1,1,FP,19,9
1854,618,education-num,-1,1,FP,16,15
1858,619,education-num,-1,1,FP,15,10
1864,621,education-num,-1,1,FP,19,9
1872,624,education-num,-1,1,FP,16,15
1886,628,education-num,-1,1,FP,100,10
1887,629,education-num,-1,1,FP,131,13
1904,634,education-num,-1,1,FP,6,5
1939,646,education-num,-1,1,FP,17,10
1985,661,education-num,-1,1,FP,31,13
1999,666,education-num,-1,1,FP,19,9
2004,668,education-num,-1,1,FP,100,10
2014,671,education-num,-1,1,FP,19,9
2022,674,education-num,-1,1,FP,19,9
2034,678,education-num,-1,1,FP,16,13
2046,682,education-num,-1,1,FP,17,16
2061,687,education-num,-1,1,FP,16,13
2073,691,education-num,-1,1,FP,160,16
2090,696,education-num,-1,1,FP,90,9
2095,698,education-num,-1,1,FP,111,11
2121,707,education-num,-1,1,FP,130,13
2128,709,education-num,-1,1,FP,100,10
2146,715,education-num,-1,1,FP,100,10
2197,732,education-num,-1,1,FP,19,9
2223,741,education-num,-1,1,FP,101,10
2236,745,education-num,-1,1,FP,101,10
2241,747,education-num,-1,1,FP,60,6
2260,753,education-num,-1,1,FP,21,12
2262,754,education-num,-1,1,FP,16,13
2266,755,education-num,-1,1,FP,19,9
2292,764,education-num,-1,1,FP,90,9
2296,765,education-num,-1,1,FP,19,9
2298,766,education-num,-1,1,FP,15,13
2313,771,education-num,-1,1,FP,100,10
2318,772,education-num,-1,1,FP,11,10
2321,773,education-num,1,-1,FN,14,12
2324,774,education-num,-1,1,FP,19,9
2328,776,education-num,-1,1,FP,130,13
2334,778,education-num,-1,1,FP,16,13
2345,781,education-num,-1,1,FP,19,9
2365,788,education-num,-1,1,FP,13,10
2385,795,education-num,-1,1,FP,100,10
2395,798,education-num,-1,1,FP,15,9
2397,799,education-num,-1,1,FP,100,10
2411,803,education-num,-1,1,FP,11,9
2423,807,education-num,-1,1,FP,19,9
2424,808,education-num,-1,1,FP,13,12
2439,813,education-num,-1,1,FP,16,13
2443,814,education-num,-1,1,FP,19,9
2445,815,education-num,-1,1,FP,100,10
2452,817,education-num,-1,1,FP,13,10
2454,818,education-num,-1,1,FP,12,11
2469,823,education-num,-1,1,FP,16,13
2476,825,education-num,-1,1,FP,19,9
2502,834,education-num,-1,1,FP,13,12
2510,836,education-num,-1,1,FP,19,9
2517,839,education-num,-1,1,FP,16,13
2542,847,education-num,-1,1,FP,111,11
2556,852,education-num,-1,1,FP,100,10
2561,853,education-num,-1,1,FP,14,13
2568,856,education-num,-1,1,FP,100,10
2584,861,education-num,-1,1,FP,21,12
2599,866,education-num,1,-1,FN,14,13
2603,867,education-num,1,-1,FN,10,9
2614,871,education-num,-1,1,FP,16,9
2616,872,education-num,1,-1,FN,12,9
2632,877,education-num,1,-1,FN,15,13
2634,878,education-num,-1,1,FP,16,15
2637,879,education-num,1,-1,FN,12,9
2655,885,education-num,-1,1,FP,100,10
2658,886,education-num,1,-1,FN,13,10
2671,890,education-num,-1,1,FP,19,9
2675,891,education-num,1,-1,FN,13,10
2691,897,education-num,-1,1,FP,111,11
2705,901,education-num,-1,1,FP,19,9
2710,903,education-num,-1,1,FP,8,5
2715,905,education-num,-1,1,FP,11,7
2729,909,education-num,-1,1,FP,17,16
2734,911,education-num,-1,1,FP,100,10
2740,913,education-num,-1,1,FP,111,11
2749,916,education-num,-1,1,FP,9,6
2751,917,education-num,-1,1,FP,100,10
2764,921,education-num,-1,1,FP,1,10
2785,928,education-num,1,-1,FN,15,16
2792,930,education-num,-1,1,FP,100,10
2833,944,education-num,-1,1,FP,19,9
2842,947,education-num,-1,1,FP,111,11
2844,948,education-num,-1,1,FP,100,10
2853,951,education-num,-1,1,FP,16,13
2857,952,education-num,-1,1,FP,19,9
2862,954,education-num,-1,1,FP,101,10
2865,955,education-num,1,-1,FN,13,10
2869,956,education-num,1,-1,FN,15,13
2871,957,education-num,-1,1,FP,16,13
2887,962,education-num,-1,1,FP,19,9
2890,963,education-num,-1,1,FP,21,12
2892,964,education-num,-1,1,FP,16,13
2913,971,education-num,-1,1,FP,101,10
2917,972,education-num,-1,1,FP,130,13
2922,974,education-num,-1,1,FP,16,13
2925,975,education-num,-1,1,FP,100,10
2932,977,education-num,-1,1,FP,19,9
2944,981,education-num,-1,1,FP,18,13
2947,982,education-num,-1,1,FP,19,9
2949,983,education-num,-1,1,FP,130,13
2953,984,education-num,-1,1,FP,19,9
2974,991,education-num,-1,1,FP,101,10
2992,997,education-num,-1,1,FP,70,7
3013,1004,education-num,-1,1,FP,16,13
3018,1006,education-num,-1,1,FP,16,13
3066,1022,education-num,-1,1,FP,11,7
3076,1025,education-num,-1,1,FP,19,9
3078,1026,education-num,-1,1,FP,100,10
3085,1028,education-num,-1,1,FP,19,9
3088,1029,education-num,-1,1,FP,31,13
3094,1031,education-num,-1,1,FP,11,13
3115,1038,education-num,-1,1,FP,16,9
3123,1041,education-num,-1,1,FP,101,10
3145,1048,education-num,-1,1,FP,19,9
3156,1052,education-num,-1,1,FP,100,10
3164,1054,education-num,-1,1,FP,15,13
3165,1055,education-num,-1,1,FP,16,13
3170,1056,education-num,-1,1,FP,11,10
3177,1059,education-num,-1,1,FP,100,10
3196,1065,education-num,-1,1,FP,19,9
3214,1071,education-num,-1,1,FP,100,10
3229,1076,education-num,-1,1,FP,40,4
3232,1077,education-num,-1,1,FP,130,13
3234,1078,education-num,1,-1,FN,13,12
3241,1080,education-num,-1,1,FP,19,9
3252,1084,education-num,-1,1,FP,130,13
3265,1088,education-num,-1,1,FP,77,7
3269,1089,education-num,-1,1,FP,90,9
3273,1091,education-num,-1,1,FP,90,9
3278,1092,education-num,-1,1,FP,11,9
3280,1093,education-num,-1,1,FP,100,10
3291,1097,education-num,-1,1,FP,90,9
3311,1103,education-num,-1,1,FP,15,14
3313,1104,education-num,-1,1,FP,19,9
3341,1113,education-num,-1,1,FP,11,10
3345,1115,education-num,-1,1,FP,16,13
3361,1120,education-num,-1,1,FP,111,11
3375,1125,education-num,-1,1,FP,16,13
3391,1130,education-num,-1,1,FP,90,9
3403,1134,education-num,-1,1,FP,88,8
3409,1136,education-num,-1,1,FP,111,11
3414,1138,education-num,-1,1,FP,130,13
3417,1139,education-num,-1,1,FP,100,10
3423,1141,education-num,-1,1,FP,16,13
3428,1142,education-num,-1,1,FP,17,10
3439,1146,education-num,-1,1,FP,16,9
3451,1150,education-num,-1,1,FP,120,12
3457,1152,education-num,-1,1,FP,100,10
3464,1154,education-num,1,-1,FN,12,9
3471,1157,education-num,-1,1,FP,16,13
3479,1159,education-num,-1,1,FP,70,7
3481,1160,education-num,-1,1,FP,100,10
3502,1167,education-num,-1,1,FP,31,13
3509,1169,education-num,-1,1,FP,80,8
3525,1175,education-num,-1,1,FP,101,10
3534,1178,education-num,-1,1,FP,19,13
3543,1181,education-num,-1,1,FP,16,13
3547,1182,education-num,-1,1,FP,53,3
3550,1183,education-num,-1,1,FP,19,9
3568,1189,education-num,-1,1,FP,19,9
3576,1192,education-num,-1,1,FP,16,15
3583,1194,education-num,-1,1,FP,19,9
3589,1196,education-num,-1,1,FP,133,13
3602,1200,education-num,-1,1,FP,19,9
3608,1202,education-num,-1,1,FP,111,11
3619,1206,education-num,-1,1,FP,19,9
3624,1208,education-num,-1,1,FP,113,13
3634,1211,education-num,-1,1,FP,19,9
3647,1215,education-num,-1,1,FP,19,9
3649,1216,education-num,-1,1,FP,16,13
3654,1218,education-num,-1,1,FP,101,10
3657,1219,education-num,-1,1,FP,16,13
3667,1222,education-num,1,-1,FN,12,9
3689,1229,education-num,-1,1,FP,6,4
3698,1232,education-num,1,-1,FN,9,8
3699,1233,education-num,-1,1,FP,16,13
3703,1234,education-num,-1,1,FP,19,9
3706,1235,education-num,-1,1,FP,101,10
3709,1236,education-num,-1,1,FP,90,9
3711,1237,education-num,-1,1,FP,100,10
3717,1239,education-num,-1,1,FP,100,10
3720,1240,education-num,-1,1,FP,100,10
3736,1245,education-num,-1,1,FP,16,9
3742,1247,education-num,-1,1,FP,21,12
3749,1249,education-num,1,-1,FN,14,13
3769,1256,education-num,-1,1,FP,100,10
3771,1257,education-num,-1,1,FP,101,10
3774,1258,education-num,-1,1,FP,6,5
3790,1263,education-num,-1,1,FP,31,13
3795,1265,education-num,-1,1,FP,16,15
3800,1266,education-num,1,-1,FN,10,9
3814,1271,education-num,-1,1,FP,19,9
3825,1275,education-num,-1,1,FP,16,13
3831,1277,education-num,-1,1,FP,101,10
3834,1278,education-num,-1,1,FP,16,13
3853,1284,education-num,-1,1,FP,16,13
3877,1292,education-num,-1,1,FP,16,9
3880,1293,education-num,-1,1,FP,150,15
3895,1298,education-num,-1,1,FP,11,1
3902,1300,education-num,-1,1,FP,60,6
3912,1304,education-num,-1,1,FP,16,13
3915,1305,education-num,-1,1,FP,9,3
3921,1307,education-num,-1,1,FP,100,10
3931,1310,education-num,-1,1,FP,111,11
3946,1315,education-num,-1,1,FP,17,13
3970,1323,education-num,1,-1,FN,12,9
3975,1325,education-num,1,-1,FN,15,13
3978,1326,education-num,-1,1,FP,16,13
3990,1330,education-num,-1,1,FP,13,12
4000,1333,education-num,-1,1,FP,19,9
4010,1336,education-num,-1,1,FP,100,10
4015,1338,education-num,-1,1,FP,19,9
4029,1343,education-num,-1,1,FP,16,13
4032,1344,education-num,-1,1,FP,16,13
